============================================================================================================
GSE9160 - laser-microdissected human distal femoral growth plate, MAS5 linear, trimmed mean 100
n = 2 normal children (F 11y10m, M 13y3m) x 5 compartments. EVERY PROBE SET SHOWN SEPARATELY.
============================================================================================================

gene     probe set       donor             Reserv   Prolif   Prehyp   Hypert   Perich
ACAN     217161_x_at     d2_M_13y3m         24296    24149    18322    22367     1779

IHH      215420_at       d1_F_11y10m          286      209      845     2635      327
IHH      215420_at       d2_M_13y3m           135      214      414     2112       59
IHH      229358_at       d1_F_11y10m          203      141     9262    20856       37
IHH      229358_at       d2_M_13y3m           461      697     3107    16564      175

PECAM1   1558397_at      d1_F_11y10m         1504       26       27       56      790
PECAM1   1558397_at      d2_M_13y3m           219      217      402       57     4419
PECAM1   1559921_at      d1_F_11y10m          704      294      578      565      731
PECAM1   1559921_at      d2_M_13y3m           327      187      202      343      388
PECAM1   208981_at       d1_F_11y10m         4771       99      386      154     3345
PECAM1   208981_at       d2_M_13y3m          1932     1862     1865     1209    11719
PECAM1   208982_at       d1_F_11y10m        21956      268      166      304     8030
PECAM1   208982_at       d2_M_13y3m          3005     3209     4359     4189    23096
PECAM1   208983_s_at     d1_F_11y10m          355       41       48      198       36
PECAM1   208983_s_at     d2_M_13y3m            19      101      168       16      593

------------------------------------------------------------------------------------------------------------
CALIBRATOR BAND, printed every run so any value above can be placed rather than asserted:
    NPPC              4 -        20
    PTHLH             7 -       309
    GDF5             31 -       604
    COL2A1         6354 -    104438

A gene inside the PTHLH/GDF5 band is DETECTED on a platform that has no dropout.
It is NOT thereby present as functional protein, and n = 2 donors is n = 2 donors.
============================================================================================================
