nct,duration_class,velocity_class,both,child,adult_height_endpoint,has_results,n,minage,maxage,status,start,sponsor,intervention,condition,title
NCT04040894,,,False,False,False,False,,18 Years,,APPROVED_FOR_MARKETING,,Amgen,Teprotumumab,"Thyroid Eye Disease, Graves' Orbitopathy",Expanded Access Protocol of Teprotumumab (HZN-001) for Patients With Active Thyroid Eye Disease
NCT00171730,,,False,False,False,True,30,18 Years,80 Years,COMPLETED,2004-08-24,Novartis Pharmaceuticals,Pasireotide,Acromegaly,An Extension Study to Assess the Long-Term Safety and Efficacy of Pasireotide in Participants With Acromegaly
NCT00577577,,,False,False,False,True,69,21 Years,65 Years,COMPLETED,2007-12,Insmed Incorporated,"rhIGF-I/rhIGFBP-3, placebo",Myotonic Dystrophy Type 1,Safety and Efficacy Study of Recombinant Human Insulin-Like Growth Factor-I/Recombinant Human Insulin-Like Growth Factor
NCT00596830,,,False,False,False,True,681,18 Years,,TERMINATED,2008-04,Pfizer,"CP-751,871 (Figitumumab), Carboplatin, Paclitaxel, Carboplatin, Paclitaxel","Carcinoma, Squamous Cell, Carcinoma, Adenosquamous, Carcinoma, Large C","Carboplatin And Paclitaxel With Or Without CP-751, 871 (An IGF-1R Inhibitor) For Advanced NSCLC Of Squamous, Large Cell "
NCT02056691,,,False,False,False,False,16,18 Years,,COMPLETED,2014-10,The Royal Bournemouth Hospital,"Exercise programme, Muscle biopsy",Colorectal Cancer,EDICT - Exercise inDuced Changes In Colorectal Cancer Tissues
NCT01674543,,,False,False,False,False,47,18 Years,50 Years,COMPLETED,2010-02,Federal University of São Paulo,"Resistance Training, Concurrent Training, Control",Schizophrenia,Clinical Symptoms of Schizophrenia and Physical Exercise
NCT06071403,,igf1,False,True,False,False,416,,,RECRUITING,2023-07-01,Peking University,(enteral feeding volume/ total fluid volume)*100%,Growth Retardation,The Effects of Time Points to Cease Parenteral Nutrition and IGF-1 on Very Low Birth Weight Infants
NCT00869752,,,False,False,False,False,12,18 Years,,COMPLETED,2009-12-16,NCIC Clinical Trials Group,"anti-IGF-1R recombinant monoclonal antibody MK-0646, cisplatin, etoposide",Lung Cancer,"MK-0646, Etoposide, and Cisplatin in Treating Patients With Extensive-Stage Small Cell Lung Cancer"
NCT01875978,,,False,False,False,True,40,25 Years,80 Years,COMPLETED,2012-10,China Medical University Hospital,Phytosterols & placebo,Non-alcoholic Fatty Liver Disease,Effect of Phytosterols on Nonalcoholic Fatty Liver Disease
NCT03775031,,igf1,False,False,False,False,20,55 Years,,UNKNOWN,2019-12-01,Massachusetts General Hospital,Fractional Laser and Chemical Peel,Skin Cancer,Chemical Peels and Fractional Laser on IGF-1 Levels in Skin
NCT00393172,,,False,False,False,False,400,18 Years,30 Years,COMPLETED,2006-05,University of Minnesota,exercise,"Breast Cancer, Obesity","Women in Steady Exercise Research [Formerly Women, Oxidative Stress, Exercise and Estrogens (WOSEE)]"
NCT00701363,,,False,False,False,True,124,18 Years,,COMPLETED,2008-10,Ipsen,Lanreotide Autogel 120 mg,Acromegaly,Study to Assess the Efficacy of an Extended Injection Interval Schedule of Lanreotide Autogel in Acromegalic Subjects
NCT00991926,,,False,False,False,False,20,45 Years,65 Years,COMPLETED,2006-12,Federico II University,"Orlistat, normo-caloric diet",Obesity,Growth Factor/Insulin-like Growth Factor (GH/IGF)-1 Axis in Obese Subjects in Treatment With Orlistat
NCT01887314,,,False,False,False,False,250,18 Years,,COMPLETED,2013-06,Helsinn Healthcare SA,Standardized Ginger extract,"Cancer, Nausea, Vomiting","Efficacy Study of Ginger (Zingiber Officinale) Extract ""Ginpax"" to Manage Nausea in Cancer Patients Receiving High Emeto"
NCT00004699,,,False,True,False,False,8,3 Weeks,3 Months,COMPLETED,1995-08,Children's Hospital of Philadelphia,insulin-like growth factor I,Hyperinsulinism,Dose Ranging Study of Recombinant Human Insulin-like Growth Factor I in Children With Hyperinsulinism
NCT00924989,,,False,False,False,False,139,18 Years,,COMPLETED,2009-12-01,Astellas Pharma Inc,"OSI-906, Placebo",Adrenocortical Carcinoma,A Study of OSI-906 in Patients With Locally Advanced or Metastatic Adrenocortical Carcinoma
NCT04710186,,,False,False,False,False,30,18 Years,,UNKNOWN,2018-08-01,University of Catanzaro,arterial reconstructive open surgery,"Androgen Receptor Abnormal, Insulin-Like Growth Factor I Deficiency, I","AR, IGF-IR, IR and Peripheral Artery Disease"
NCT02191267,,,False,False,False,True,30,40 Years,69 Years,COMPLETED,2015-01,Brigham and Women's Hospital,"[F18]-T807, [F18]-Florbetapir, MRI/MRS, Genetic Analysis for Genetic Risk Score for Tau.",Chronic Traumatic Encephalopathy,Tau Imaging of Chronic Traumatic Encephalopathy
NCT01721577,,,False,False,False,True,10,18 Years,,TERMINATED,2012-12,Rush University Medical Center,AXL1717,"Glioblastoma, Gliosarcoma, Anaplastic Astrocytoma, Anaplastic Oligoden",Phase I/II Trial of AXL1717 in the Treatment of Recurrent Malignant Astrocytomas
NCT07271212,,igf1,False,False,False,False,60,18 Years,60 Years,COMPLETED,2025-11-01,Hungkuang University,"Placebo control, Base formula only, Base formula plus IGF-1 and FGF-7, Base formula plus Centella asiatica and ginger ex","Scalp Health, Hair Condition, Hair Loss, Alopecia, Sebum Production, H",Scalp Care Efficacy Evaluation for Premium Revitalizing Elixir
NCT01062620,,igf1,False,False,False,False,49,18 Years,,COMPLETED,2008-04,Axelar AB,AXL1717,Solid Tumors,A Dose Escalating Clinical Trial of the IGF-1 Receptor Inhibitor AXL1717 in Patients With Advanced Cancer
NCT02103283,,,False,False,False,False,5,18 Years,,COMPLETED,2014-10,Amgen,Teprotumumab,Diabetic Macular Edema,"A Phase 1, Open-Label Study of Teprotumumab in Patients With Diabetic Macular Edema (DME)"
NCT05176639,,,False,False,False,False,113,18 Years,,COMPLETED,2021-12-03,"Viridian Therapeutics, Inc.","VRDN-001 Phase 3 Cohort (THRIVE), VRDN-001 Placebo",Thyroid Eye Disease,"A Safety, Tolerability and Efficacy Study of Veligrotug (VRDN 001) in Healthy Volunteers and Participants With Thyroid E"
NCT01559584,,,False,True,False,False,40,12 Years,,COMPLETED,2012-03,Cairo University,"ultraviolet A (UVA), Triamcinolone Acetonide",Alopecia Areata,Phototoxic Doses of Ultraviolet A for Treatment of Alopecia Areata
NCT01182883,,,False,True,False,False,0,1 Year,21 Years,WITHDRAWN,2010-07-28,National Cancer Institute (NCI),"IMC-A12, Temsirolimus","Brain Stem Neoplasms, Glioma, Pinealoma",A Phase I Study of IMC-A12 in Combination With Temsirolimus in Pediatric Patients With Recurrent or Refractory Solid Tum
NCT07569003,,igf1,False,True,False,False,15,,5 Years,RECRUITING,2026-04-06,Indonesia University,Nutrition Therapy,"Chronic Cholestasis, Severe Malnutrition, Pediatric Cholestasis",Prealbumin and IGF-1 Levels in Pediatric Chronic Cholestasis With Severe Malnutrition After Nutrition Therapy
NCT06985121,,igf1,False,True,False,False,60,16 Years,60 Years,COMPLETED,2025-04-08,Hungkuang University,"Placebo control, Base formula only, Base formula plus IGF-1 and FGF-7, Base formula plus Centella asiatica extracellular","Scalp Health, Hair Condition, Hair Loss, Sebum Production, Hair and Sc",Scalp Care Efficacy Evaluation for Premium Scalp Revitalizing Essence
NCT02860338,,,False,False,False,False,900,40 Years,90 Years,COMPLETED,2009-01,Clionsky Neuro Systems Inc.,,"Mild Cognitive Impairment, Dementia, Hypoxia, Hyperhomocysteinemia, Vi",COMPARATIVE EFFECTIVENESS OF MCI and DEMENTIA TREATMENTS IN A COMMUNITY-BASED DEMENTIA PRACTICE
NCT02399137,,,False,False,False,False,88,18 Years,,COMPLETED,2015-05,Merrimack Pharmaceuticals,"MM-141, Placebo, Gemcitabine, Nab-Paclitaxel",Pancreatic Cancer,A Phase 2 Study of MM-141 Plus Nab-paclitaxel and Gemcitabine in Front-line Metastatic Pancreatic Cancer
NCT02427295,,,False,False,False,False,1,18 Years,,UNKNOWN,2014-03,Asan Medical Center,Sandostatin (Octreotide Acetate),Acromegaly,Hormonal Outcomes in Acromegalic Patients With Treated Surgery With or Without Long Acting Somatostatin Analogues
NCT07734714,,,False,False,False,False,124,18 Years,65 Years,NOT_YET_RECRUITING,2026-07,Vrije Universiteit Brussel,"Glucose beverage, Isomaltulose beverage, Standardized breakfast","Chronic Low Back Pain (Non-specific, Uncomplicated), Chronic Low Back ",Chronic Low Back Pain Comorbidities: Unravelling Impaired Glucose Metabolism
NCT04054505,,,False,False,False,False,275,26 Years,75 Years,COMPLETED,2019-01-02,Optimal Health Research,"EZPAK, Placebo",Vitamin Deficiency,"Effectiveness of a Nutraceutical in Raising Circulating Serum Vitamin, Mineral and Amino Acid Levels in Patients."
NCT00421408,,,False,False,False,True,208,60 Years,85 Years,COMPLETED,2007-02,Yale University,"Whey protein supplement, Placebo","Bone Resorption, Osteoporosis",The Effect of Protein Supplementation on Bone Health in Healthy Older Men and Women
NCT00642941,,,False,True,False,True,317,2 Years,,TERMINATED,2007-12-18,Hoffmann-La Roche,RG1507,Sarcoma,A Study of R1507 in Participants With Recurrent or Refractory Sarcoma
NCT01446302,,,False,False,False,False,24,18 Years,,COMPLETED,2011-10,University of Aarhus,Double meal,"Kidney Failure, Chronic",Metabolic and Inflammatory Responses to Hemodialysis and the Effect of a Meal
NCT00517491,,,False,False,False,False,0,18 Years,70 Years,WITHDRAWN,2008-05,Ipsen,lanreotide (Autogel formulation),Acromegaly,Study to Evaluate Patients With Acromegaly Treated With Lanreotide Autogel (Somatuline ATG)
NCT05812079,,,False,False,False,False,33,18 Years,60 Years,UNKNOWN,2024-02-01,Cairo University,skin biopsy examined by ELISA technique,Vitiligo,Insulin Like Growth Factor-1 Against Oxidative Stress in Vitiligo
NCT03298867,,,False,False,False,True,83,18 Years,80 Years,COMPLETED,2017-10-04,Amgen,"Teprotumumab, Placebo","Thyroid Eye Disease, Graves' Orbitopathy","Treatment of Graves' Orbitopathy (Thyroid Eye Disease) to Reduce Proptosis With Teprotumumab Infusions in a Randomized, "
NCT02367833,,igf1,False,False,False,True,60,18 Years,30 Years,COMPLETED,2015-01,Penn State University,"Combined Oral Contraceptive, Transdermal Contraceptive, Contraceptive Vaginal Ring","Bone; Disorder, Development and Growth",Effects of Oral vs. Non-oral Contraceptives on the GH/IGF-1 Axis
NCT05869383,,igf1,False,False,False,True,80,60 Years,,COMPLETED,2023-05-01,Universitas Sriwijaya,"Ophiochepalus striatus extract, Placebo","Sarcopenia, Geriatric, Muscle Mass, Muscle Strength, Physical Performa",Effect Of Ophiochepalus Striatus Extract On Serum IGF-1 And IL-6 Levels In Elderly Patients With Sarcopenia
NCT02084095,,,False,False,False,False,16,18 Years,65 Years,COMPLETED,2014-03,Carol Davila University of Medicine and ,,Acromegaly,IGF-I and Free Fatty Acids Isn Glucose Metabolism in Acromegaly
NCT03041701,,,False,True,False,True,14,2 Years,,TERMINATED,2017-07-07,National Cancer Institute (NCI),"Dasatinib, Dasatinib, Ganitumab","Rhabdomyosarcoma, Rhabdomyosarcoma, Alveolar, Rhabdomyosarcoma, Embryo",Insulin-like Growth Factor 1 Receptor (IGF-1R) Antibody AMG479 (Ganitumab) in Combination With the Src Family Kinase (SF
NCT02354508,,,False,False,False,True,123,18 Years,,COMPLETED,2015-03-31,Novartis Pharmaceuticals,Pasireotide LAR,Acromegaly,Pasireotide in Patients With Acromegaly Inadequately Controlled With First Generation Somatostatin Analogues
