nct,duration_class,velocity_class,both,child,adult_height_endpoint,has_results,n,minage,maxage,status,start,sponsor,intervention,condition,title
NCT02097680,aromatase_inhibitor,,False,False,False,False,30,20 Years,60 Years,COMPLETED,2013-12,"University Hospital, Ghent","Letrozole, Placebo",Obesity,Influence of Aromatase Inhibition on Hepatic- and Cardiac Function in Severe Obese Men
NCT03078751,,,False,False,False,True,54,18 Years,,COMPLETED,2017-06-20,Novartis Pharmaceuticals,"Ribociclib, Adjuvant endocrine therapy, Placebo",Breast Cancer,Adjuvant Ribociclib With Endocrine Therapy in Hormone Receptor+/HER2- High Risk Early Breast Cancer
NCT00973505,aromatase_inhibitor,,False,False,False,False,100,18 Years,80 Years,UNKNOWN,2009-03,Korea University Anam Hospital,Aromatase Inhibitor(Femara or Arimidex),"Breast Neoplasms, Arthralgia, Arthritis, Genetic Polymorphism",CYP19 Genetic Polymorphism & Aromatase Inhibitor(AI)
NCT01127295,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,2000,18 Years,,COMPLETED,2010-06-17,Institut Claudius Regaud,"Tamoxifen, Letrozole, Anastrozole or Exemestane",Hormono-depending Adjuvant Breast Cancer,Pharmacology of Adjuvant Hormonotherapy in Breast Cancer
NCT03024580,aromatase_inhibitor|estrogen_blockade,,False,True,False,False,20,,,UNKNOWN,2017-03-06,"Instituto Nacional de Cancer, Brazil","Megestrol Acetate 160Mg Tablet, Anastrozole 1Mg Tablet, Letrozole 2.5Mg Tablet, Exemestane 25 MG, Tamoxifen 20Mg Tablet,",Breast Neoplasm,A Study Evaluating Megestrol Acetate Modulation in Hormone Receptor Positive Advanced Breast Cancer
NCT03936270,aromatase_inhibitor,,False,False,False,False,43,18 Years,,COMPLETED,2020-03-05,Latin American Cooperative Oncology Grou,"Palbociclib 125mg, Letrozole 2.5mg",Ovarian Cancer,Palbociclib Plus Letrozole Treatment After Progression to Second Line Chemotherapy for Women With ER/PR-positive Ovarian
NCT05228951,aromatase_inhibitor,,False,False,False,False,12,18 Years,75 Years,RECRUITING,2022-02-10,Shengjing Hospital,"Pyrotinib maleate, dalpiciclib, Trastuzumab, letrozole",Breast Cancer,"Pyrotinib Maleate, Trastuzumab, SHR6390 and Letrozole in Combination for Stage II-III TPBC"
NCT02455154,aromatase_inhibitor,,False,False,False,False,278,18 Years,,COMPLETED,2015-05,Shanghai Jiao Tong University School of ,"Letrozole, Zhongyaofufang, Xianlinggubao","Breast Cancer, Osteoporosis",Traditional Chinese Medicine as Preventive Method for Osteoporosis Induced by Adjuvant Endocrine Therapy
NCT03900637,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,122,19 Years,,ACTIVE_NOT_RECRUITING,2019-11-08,Seoul National University Hospital,"Leuprorelin acetate, Letrozole, MammaPrint",Breast Cancer,PersonaLized neoAdjuvant Strategy ER Positive and HER2 Negative Breast Cancer TO Increase BCS Rate
NCT02742051,aromatase_inhibitor,,False,False,False,False,40,18 Years,70 Years,COMPLETED,2016-06,Sun Yat-Sen Memorial Hospital of Sun Yat,"Everolimus, Letrozole, Fluorouracil, Epirubicin, Cyclophosphamide",Breast Cancer,"A Trial of Neoadjuvant Everolimus Plus Letrozole Versus FEC in Women With ER-positive, HER2-negative Breast Cancer"
NCT01478477,aromatase_inhibitor,,False,False,False,False,44,18 Years,,COMPLETED,2011-10-04,Ohio State University Comprehensive Canc,"omega-3 fatty acid supplement, Placebo, Clinical assessments, Assessment of therapy complications, Magnetic Resonance Im","Recurrent Breast Cancer, Stage IA Breast Cancer, Stage IB Breast Cance","Omega-3 Fatty Acids in Preventing Joint Symptoms in Patients With Stage I-III Breast Cancer Receiving Anastrozole, Exeme"
NCT03820830,,,False,False,False,False,405,18 Years,,ACTIVE_NOT_RECRUITING,2019-08-27,ETOP IBCSG Partners Foundation,"Palbociclib 125mg, Standard endocrine therapy",Breast Cancer Recurrent,Palbociclib for HR Positive / HER2-negative Isolated Locoregional Recurrence of Breast Cancer
NCT01281137,aromatase_inhibitor,,False,False,False,True,104,18 Years,120 Years,COMPLETED,2011-01,ETOP IBCSG Partners Foundation,"polymorphism analysis, laboratory biomarker analysis, quality-of-life assessment",Breast Cancer,Study of Changes in Estrogen Levels and Grip Strength in Postmenopausal Women Who Have Received 4 to 6 Years of Hormone 
NCT00050011,aromatase_inhibitor,,False,False,False,True,602,18 Years,85 Years,COMPLETED,2002-09,Novartis Pharmaceuticals,"Zoledronic Acid, Letrozole","Breast Neoplasms, Osteoporosis",Zoledronic Acid - Letrozole Adjuvant Synergy Trial (ZFAST) - Cancer Treatment Related Bone Loss in Postmenopausal Women 
NCT03701334,,,False,False,False,False,5101,18 Years,100 Years,ACTIVE_NOT_RECRUITING,2018-12-07,Novartis Pharmaceuticals,"Ribociclib, Endocrine Therapy (ET)",Early Breast Cancer,A Trial to Evaluate Efficacy and Safety of Ribociclib With Endocrine Therapy as Adjuvant Treatment in Patients With HR+/
NCT00111241,aromatase_inhibitor,,False,False,False,True,115,40 Years,65 Years,COMPLETED,2005-05,Monash University,"aromatase inhibitors (letrozole, anastrozole)",Arthralgia,Changes in Knee Articular Cartilage Volume in Women on Aromatase Inhibitors
NCT00194779,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,50,18 Years,,COMPLETED,2003-10,University of Washington,"doxorubicin hydrochloride, cyclophosphamide, paclitaxel, filgrastim, capecitabine, methotrexate, vinorelbine tartrate, n","Estrogen Receptor-negative Breast Cancer, Estrogen Receptor-positive B",Combination Chemotherapy and Filgrastim Before Surgery in Treating Patients With HER2-Positive Breast Cancer That Can Be
NCT04895761,aromatase_inhibitor,,False,False,False,False,6,18 Years,,ACTIVE_NOT_RECRUITING,2021-09-10,Providence Health & Services,"DPX-Survivac, Letrozole 2.5mg, Cyclophosphamide 50mg, XRT 10Gy x2",Breast Cancer,"Neoadjuvant DPX-Survivac Aromatase Inhibition, Radiotherapy or Cyclophosphamide in HR+HER2- Breast Cancer"
NCT04407988,aromatase_inhibitor,,False,False,False,False,86,18 Years,70 Years,UNKNOWN,2019-11-06,Hunan Cancer Hospital,Pyrotinib Maleate plus Letrozole,Metastatic Breast Cancer,"Pyrotinib in Combination With Letrozole in Patients With HER2-Positive, ER-Positive Metastatic Breast Cancer"
NCT00867217,aromatase_inhibitor,,False,False,False,True,160,18 Years,,COMPLETED,2009-03,Qamar Khan,"High Dose Vitamin D, Placebo, Standard Dose Vitamin D3, Letrozole 2.5mg",Breast Cancer,Vitamin D3 for Aromatase Inhibitor Induced Arthralgias
NCT04193930,aromatase_inhibitor,,False,False,False,False,0,40 Years,45 Years,WITHDRAWN,2021-01-01,Assiut University,"Letrozole, Menotropins, recombinant Follicular stimulating hormone",ART,Different Protocols in Ovarian Stimulation in Intracytoplasmic Sperm Injection Cycles
NCT00687648,aromatase_inhibitor,,False,False,False,False,70,18 Years,,UNKNOWN,2008-05,"National Cancer Centre, Singapore","anastrozole, cyclophosphamide, exemestane, letrozole, methotrexate, prednisolone",Breast Cancer,"Cyclophosphamide, Methotrexate, and Prednisolone With or Without Aromatase Inhibitor Therapy in Treating Postmenopausal "
NCT00097344,aromatase_inhibitor,,False,False,False,False,842,18 Years,,TERMINATED,2004-12,Intarcia Therapeutics,"Atamestane, Toremifene, Letrozole, Aromatase inhibition, Estrogen receptor blocker, Hormone therapy, Endocrine therapy, ","Breast Neoplasms, Neoplasms, Hormone-Dependent",The CAT Study: Atamestane Plus Toremifene Versus Letrozole in Advanced Breast Cancer
NCT04215835,aromatase_inhibitor,,False,False,False,False,200,18 Years,,UNKNOWN,2020-01-05,Cairo University,"letrozole then misoprostol, placebo then misoprostol",Missed Abortion,Letrozole Pretreatment With Misoprostol Induction of Abortion In First-Trimester Missed Miscarriage
NCT05512416,aromatase_inhibitor,,False,False,False,False,35,18 Years,,UNKNOWN,2022-08,The Affiliated Hospital of Qingdao Unive,dalpiciclib plus letrozole,Breast Cancer,Neoadjuvant Dalpiciclib Plus Letrozole for HR+/HER2- Breast Cancer
NCT04159649,aromatase_inhibitor,,False,False,False,False,224,18 Years,40 Years,UNKNOWN,2019-12-01,Mansoura University,"Letrozole 2.5Mg Tablet, Gonadotropins, endometrial sample in the pretreatment cycle",EMBRYO IMPLANTATION,The Outcomes of ICSI Cycles With and Without Letrozole
NCT04356105,,,False,False,False,False,132,30 Years,43 Years,COMPLETED,2020-06-01,Cairo University,"Minimal stimulation protocol, Microflare protocol, IVF/ICSI cycle","Infertility, Female",Protocols of IVF/ICSI in Poor Responders
NCT05205837,aromatase_inhibitor,,False,False,False,False,8,18 Years,50 Years,TERMINATED,2021-11-24,"Rigshospitalet, Denmark","Letrozole 2.5mg, hCG, Placebo","Hypogonadism, Hypogonadism, Male, Hypogonadotropic Hypogonadism","A Randomized, Double-blinded, Clinical, Placebo-controlled Trial on the Effects of Therapy With Letrozole and hUman Chor"
NCT02236572,,,False,False,False,True,17,18 Years,,TERMINATED,2014-11-29,Yale University,Everolimus,Breast Cancer,"Neoadj ph 2 AI Plus Everolimus in Postmenopausal Women w/ ER Pos/HER2 Neg, Low Risk Score"
NCT02470741,aromatase_inhibitor,,False,False,False,True,12,21 Years,,COMPLETED,2015-07,"University of California, San Francisco","Letrozole, Placebo","Leiomyoma, Uterine Fibroids",Pilot of Letrozole for Uterine Myomas
NCT06974929,aromatase_inhibitor,,False,False,False,False,80,18 Years,75 Years,RECRUITING,2025-05-22,"Jiangsu HengRui Medicine Co., Ltd.","HRS-6209 Capsules, Letrozole Tablets, HRS-2189 Tablets",Breast Cancer,A Clinical Study of HRS-6209 Combined With Other Treatment Regimens in Patients With Breast Cancer
NCT06143631,aromatase_inhibitor,,False,False,False,False,140,21 Years,53 Years,RECRUITING,2024-07-24,"University of California, San Francisco","Letrozole 2.5mg, Placebo","Leiomyoma, Uterine, Leiomyoma, Fibroid, Fibroid Uterus",Prescription of Letrozole for Uterine Myoma
NCT05768139,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,880,18 Years,,RECRUITING,2023-04-17,Eli Lilly and Company,"STX-478, Fulvestrant, Ribociclib, Palbociclib, Letrozole, Anastrozole, Exemestane, Tamoxifen, Abemaciclib, Imlunestrant,","Breast Cancer, Solid Tumors, Adult",First-in-Human Study of Tersolisib (STX-478) as Monotherapy and in Combination With Other Antineoplastic Agents in Parti
NCT04361175,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,212,18 Years,35 Years,UNKNOWN,2021-03,Assiut University,"Letrozole, Clomiphine Citrate",Infertility,Cost Effectiveness Analysis for Induction of Ovulation in the Polycystic Ovary Syndrome by Letrozole Versus Clomiphene C
NCT01626222,aromatase_inhibitor,,False,False,False,False,301,18 Years,,COMPLETED,2012-06,Novartis Pharmaceuticals,"Exemestane, Everolimus (RAD001)",Metastatic Breast Cancer,"4EVER - Efficacy, Safety, Health Economics, Translational Research of Postmenopausal Women With Estrogen Receptor Positi"
NCT02648477,aromatase_inhibitor,,False,False,False,True,30,18 Years,,COMPLETED,2016-03-28,City of Hope Medical Center,"Anastrozole, Doxorubicin Hydrochloride, Exemestane, Laboratory Biomarker Analysis, Letrozole, Pembrolizumab","Estrogen Receptor Negative, Estrogen Receptor Positive, HER2/Neu Negat",Pembrolizumab and Doxorubicin Hydrochloride or Anti-Estrogen Therapy in Treating Patients With Triple-Negative or Hormon
NCT05304273,aromatase_inhibitor,,False,False,False,False,120,18 Years,40 Years,COMPLETED,2022-05-05,Calcutta National Medical College and Ho,"Mifepristone, Letrozole",Miscarriage,Comparison Between Letrozole and Mifepristone in Medical Termination of First Trimester Miscarriages
NCT04012918,aromatase_inhibitor,,False,True,False,False,124,,,UNKNOWN,2018-08-30,Ain Shams University,"Capecitabine plus aromatase inhibitor, A.I.",Metastatic Breast Cancer,"Capecitabine in Combination With Aromatase Inhibitor Versus Aromatase Inhibitors, in Hormonal Receptor Positive Recurren"
NCT02128360,aromatase_inhibitor,,False,False,False,False,200,18 Years,43 Years,UNKNOWN,2015-03,Sheba Medical Center,"Letrozole, Gonadotropins, Gonadotropins",Infertility,Comparison of 2 Ovarian Stimulation Protocols for Women With Low Ovarian Reserve
NCT01042379,aromatase_inhibitor,,False,False,False,False,5000,18 Years,,RECRUITING,2010-03-01,QuantumLeap Healthcare Collaborative,"Standard Therapy, AMG 386 with or without Trastuzumab, AMG 479 (Ganitumab) plus Metformin, MK-2206 with or without Trast","Breast Neoplasms, Breast Cancer, Breast Tumors, Angiosarcoma, TNBC - T",I-SPY TRIAL: Neoadjuvant and Personalized Adaptive Novel Agents to Treat Breast Cancer
NCT05949541,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,265,18 Years,75 Years,RECRUITING,2023-07-26,Fudan University,"Everolimus 10 mg, CDK4/6 Inhibitor SHR6390, Aromatase inhibitor and Fulvestrant combined with CDK4/6 inhibitors","Breast Cancer, Advanced Breast Cancer",Efficacy of Everolimus Combined With First-line Endocrine Therapy for HR+/HER2- SNF1-subtype Advanced Breast Cancer
NCT04488107,aromatase_inhibitor,,False,False,False,False,78,18 Years,,UNKNOWN,2019-02-14,"Ahon Pharmaceutical Co., Ltd.","FCN-437c, Letrozole 2.5mg",Breast Neoplasms,"Safety, Tolerability, Pharmacokinetics and Antitumor Activity of FCN-437c"
NCT02221999,aromatase_inhibitor,,False,False,False,False,250,18 Years,70 Years,ACTIVE_NOT_RECRUITING,2013-09,RenJi Hospital,"Paclitaxel, Cisplatin, Gonadotropin-releasing hormone agonist, Letrozole","Tubular Breast Cancer, Mucinous Breast Cancer, Invasive Ductal Breast ",Weekly Paclitaxel and Cisplatin to Treat Hormone Receptor Positive and Triple Negative Breast Cancer Patients
NCT00681928,aromatase_inhibitor,,False,False,False,False,72,65 Years,,COMPLETED,2007-10,City of Hope Medical Center,"anastrozole, letrozole, questionnaire administration, cognitive assessment, psychosocial assessment and care",Breast Cancer,"Cognitive Function in Older Women With Stage I, Stage II, or Stage III Breast Cancer Receiving Hormone Therapy"
NCT05226871,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,35,18 Years,,ACTIVE_NOT_RECRUITING,2022-07-07,Pfizer,"Palbociclib, Cetuximab, Fulvestrant, Letrozole","Breast Cancer, Head and Neck Cancer",Study for Participants Continuing From Pfizer-sponsored Palbociclib (a Study Medicine) Studies
NCT02429999,aromatase_inhibitor,,False,False,False,False,80,20 Years,35 Years,UNKNOWN,2015-04,Assiut University,"Letrezole plus FSH, Standard protocol for induction of ovulation",to Evaluate Letrozole as a Modality for Minimal Ovarian Stimulation in,Letrozole in Assisted Reproductive Technology
NCT07174336,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,800,18 Years,,RECRUITING,2025-12-22,Eli Lilly and Company,"LY4064809, Placebo, Ribociclib, Palbociclib, Abemaciclib, Anastrozole, Letrozole, Exemestane, Fulvestrant","Breast Neoplasms, Neoplasm Metastasis",A Study of Tersolisib (LY4064809/STX-478) With Other Anti-Cancer Treatments in Participants With Advanced Breast Cancer 
NCT03628066,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,24,18 Years,,COMPLETED,2018-10-22,NSABP Foundation Inc,"Letrozole, Palbociclib, Goserelin, Oncotype DX Breast Recurrence Score",Breast Cancer,Biological and Clinical Effects of Palbociclib With Ovarian Suppression and Letrozole in the Neoadjuvant Treatment of Br
NCT00530868,aromatase_inhibitor,,False,False,False,True,75,19 Years,,COMPLETED,2007-10-08,University of Alabama at Birmingham,"Letrozole (Femara), Letrozole; Avastin","Breast Cancer, Cancer of the Breast, Breast Neoplasm",Comparing Letrozole Given Alone to Letrozole Given With Avastin in Post-Menopausal Women Breast Cancer
NCT01989780,aromatase_inhibitor|estrogen_blockade|gnrh_analogue,,False,False,False,False,160,20 Years,75 Years,COMPLETED,2014-01,Japan Breast Cancer Research Group,"Paclitaxel, Bevacizumab, Letrozole, Anastrozole, Exemestane, Fulvestrant, Goserelin, leuprorelin",Metastatic Breast Cancer,Bevacizumab Plus Paclitaxel Optimization Study With Interventional Aintenance Endocrine Therapy in Breast Cancer
NCT01275859,aromatase_inhibitor,,False,False,False,False,25,18 Years,,COMPLETED,2010-09,Asan Medical Center,"Letrozole, Lapatinib",Breast Cancer,Neoadjuvant Combined Endocrine and HER2 Target Therapy in Postmenopausal Women With ER and Her2 Positive Breast Cancer
NCT05157672,aromatase_inhibitor,,False,False,False,False,16,18 Years,64 Years,UNKNOWN,2021-12-14,Washington State University,"Cinnamon (2 g), Nicotine gum (2.5 mg), Letrozole (2.5 mg)",Interaction Drug Food,Evaluating the Pharmacokinetics and Drug Interaction Potential of the Botanical Dietary Supplement Cinnamon
NCT05826964,,,False,False,False,False,24,18 Years,,ACTIVE_NOT_RECRUITING,2023-06-12,University of Miami,"AI+CDK4/6i, SERD+CDK4/6i, mTOR inhibitor + AI, mTOR inhibitor + SERD, mTOR inhibitor + Selective estrogen receptor modul","Breast Cancer, ER-positive Breast Cancer, HER2-negative Breast Cancer,",Levels of Circulating Tumor DNA as a Predictive Marker for Early Switch in Treatment for Patients With Metastatic (Stage
NCT06041204,aromatase_inhibitor,,False,False,False,False,200,20 Years,40 Years,RECRUITING,2021-05-06,Muhamed Ahmed Abdelmoaty Muhamed Alhagra,"Letrozole 2.5mg, Levothyroxine 25 Mcg (0.025 Mg) Oral Tablet","PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries, Subclinical Hyp",Best Treatment for Women With Both (Polycystic Ovary Syndrome) PCOS and Subclinical Hypothyroidism
NCT03906669,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,200,18 Years,,UNKNOWN,2018-03-20,St Vincent's Hospital,"Letrozole, Letrozole and Prometrium, Tamoxifen and Prometrium","Early-stage Breast Cancer, Hormone Receptor Positive Tumor",A Window of Opportunity Study of Pre-operative Endocrine Therapy With and Without Prometrium in Postmenopausal Women Wit
NCT03839823,aromatase_inhibitor|gnrh_analogue,,False,False,False,True,222,18 Years,59 Years,COMPLETED,2019-02-25,Novartis Pharmaceuticals,"Docetaxel / Capecitabine, Capecitabine / Vinorelbine, Paclitaxel / Gemcitabine, Ribociclib, Letrozole OR Anastrozole, Go",Breast Cancer,Study to Compare the Combination of Ribociclib Plus Goserelin Acetate With Hormonal Therapy Versus Combination Chemother
NCT07159880,aromatase_inhibitor,,False,False,False,False,20,18 Years,40 Years,RECRUITING,2025-09-01,GABRIEL MONTEIRO PINHEIRO,"Traditional Letrozole Therapy, Extended Letrozole Therapy","PCOS (Polycystic Ovary Syndrome), Infertility, Anovulation",Letrozole Extended vs Traditional Therapy for Ovulation Induction in Women With PCOS (PROLEx-PCOS)
NCT02213042,,,False,False,False,True,42,18 Years,,TERMINATED,2014-10-24,Novartis Pharmaceuticals,"Lapatinib, Trastuzumab, Aromatase Inhibitors (AIs)","Neoplasms, Breast",Evaluation of Biomarkers Associated With Response to Subsequent Therapies in Subjects With HER2-Positive Metastatic Brea
NCT00084396,aromatase_inhibitor,,False,False,False,False,115,18 Years,,COMPLETED,2003-10,Washington University School of Medicine,"letrozole, conventional surgery",Breast Cancer,Neoadjuvant Letrozole in Treating Postmenopausal Women With Estrogen-Receptor Positive and/or Progesterone-Receptor Posi
NCT03633331,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,93,70 Years,,COMPLETED,2018-08-15,Alliance for Clinical Trials in Oncology,"Palbociclib, Letrozole, Fulvestrant, Questionnaire Administration, Quality-of-Life Assessment","Estrogen Receptor-positive Breast Cancer, HER2/Neu Negative, Stage IV ","Palbociclib and Letrozole or Fulvestrant in Treating Patients With Estrogen Receptor Positive, HER2 Negative Metastatic "
NCT05207709,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,61,18 Years,,TERMINATED,2022-03-28,SOLTI Breast Cancer Research Group,"Ribociclib + Letrozole OR Fulvestrant, Palbociclib + Letrozole OR Fulvestrant, Paclitaxel +/- Tislelizumab",Metastatic Breast Cancer,Ribociclib vs. Palbociclib in Patients With Advanced Breast Cancer Within the HER2-Enriched Intrinsic Subtype
NCT01199367,aromatase_inhibitor,,False,False,False,False,11,18 Years,,TERMINATED,2010-12,"Kyowa Kirin Co., Ltd.",KW-2450 in combination with lapatinib and letrozole,Breast Cancer,"Safety, Tolerability, and Efficacy Study in Subjects With Advanced or Metastatic Breast Cancer"
NCT05847257,aromatase_inhibitor,,False,False,False,False,74,18 Years,60 Years,COMPLETED,2021-12-01,Al-Mustansiriyah University,"Letrozole tablets, Coenzyme Q10 table","Male Reproductive Problem, Infertility, Male",Impact of Co Enzyme Q10 as Adjuvant Therapy to Letrozole on Spermiogram
NCT05649956,aromatase_inhibitor,,False,False,False,False,40,18 Years,,RECRUITING,2024-07-17,GOG Foundation,Letrozole,Uterine Leiomyosarcoma,Letrozole in Uterine Leiomyosarcoma
NCT04735367,aromatase_inhibitor,,False,False,False,True,42,20 Years,,COMPLETED,2021-02-03,Pfizer,palbociclib plus letrozole,Breast Cancer,Study to Evaluate Overall Survival in Japanese Patients With HR+/HER2- Advanced Breast Cancer Treated With Palbociclib P
NCT04891731,gnrh_analogue,,False,False,False,False,120,18 Years,,UNKNOWN,2021-05,Sun Yat-Sen Memorial Hospital of Sun Yat,AI or TAM,Hormone Receptor-positive Breast Cancer,Efficacy and Safety of Leuprorelin 3M in Premenopausal Women With Hormone Receptor-positive Breast Cancer
NCT06760637,aromatase_inhibitor,,False,False,False,False,1035,18 Years,,ACTIVE_NOT_RECRUITING,2025-01-06,Pfizer,"PF-07220060, letrozole, abemaciclib, palbociclib, ribociclib",Breast Cancer,Study of PF-07220060 With Letrozole in Adults With HR-positive HER2-negative Breast Cancer Who Have Not Received Antican
NCT00329940,aromatase_inhibitor,,False,False,False,False,200,18 Years,,COMPLETED,2005-11,Novartis Pharmaceuticals,Letrozole,Breast Cancer,Safety and Rheumatologic Tolerability of Letrozole in Postmenopausal Patients With Hormone Receptor Positive Breast Canc
NCT04546009,aromatase_inhibitor|gnrh_analogue,,False,False,False,False,992,18 Years,,ACTIVE_NOT_RECRUITING,2020-10-09,Hoffmann-La Roche,"Giredestrant, Giredestrant-matched Placebo, Letrozole, Letrozole-matched Placebo, Palbociclib, LHRH Agonist","Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastat",A Study Evaluating the Efficacy and Safety of Giredestrant Combined With Palbociclib Compared With Letrozole Combined Wi
NCT06706414,aromatase_inhibitor,,False,False,False,False,16,18 Years,60 Years,ACTIVE_NOT_RECRUITING,2025-03-01,Martin Blomberg Jensen,"Denosumab (Prolia), Letrozole (Aromatase Inhibitors)","Infertility, Male",NT-NOA - Novel Treatment of Some Men With Non-Obstructive Azoospermia
NCT01655225,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,156,18 Years,,COMPLETED,2012-07-31,Eli Lilly and Company,"LY3023414, Midazolam, Fulvestrant, Pemetrexed, Cisplatin, Abemaciclib, Letrozole","Advanced Cancer, Metastatic Cancer, Non-Hodgkin's Lymphoma, Metastatic",A Study of LY3023414 in Participants With Advanced Cancer
NCT00006174,aromatase_inhibitor,,False,True,False,False,25,1 Year,8 Years,COMPLETED,2000-08-03,National Institute of Dental and Craniof,Letrozole,"McCune Albright Syndrome, Polyostotic Fibrous Dysplasia, Precocious Pu",Effects of Letrozole on Precocious Puberty Due to McCune Albright Syndrome
NCT04220476,aromatase_inhibitor,,False,False,False,False,0,18 Years,90 Years,WITHDRAWN,2020-03-04,Weill Medical College of Cornell Univers,"Stereotactic Body Radiation Therapy (SBRT) (50GY in 5 fractions), Letrozole 2.5Mg Tab, Palbociclib 125mg",Breast Cancer,CIMER: Combined Immunotherapies in Metastatic ER+ Breast Cancer
NCT02947685,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,518,18 Years,,ACTIVE_NOT_RECRUITING,2017-06-21,"Alliance Foundation Trials, LLC.","palbociclib, trastuzumab, pertuzumab, letrozole, Anastrozole, Exemestane, Fulvestrant","HER-2 Positive Breast Cancer, Estrogen Receptor Positive Breast Cancer","Randomized, Open Label, Clinical Study of the Targeted Therapy, Palbociclib, to Treat Metastatic Breast Cancer"
NCT00461773,aromatase_inhibitor,,False,False,False,True,5,18 Years,,TERMINATED,2007-03,Yale University,"Letrozole, Bevacizumab","Hormone-Sensitive Breast Cancer, Breast Cancer",Randomized Phase II Study of Preoperative Letrozole (Femara) in Combination With Avastin in Hormone Receptor Positive Br
NCT07610720,,,False,False,False,False,57,18 Years,75 Years,RECRUITING,2026-06-01,Sun Yat-sen University,"Dalpiciclib, Trastuzumab (Herceptin), Pertuzumab, Pyrotinib, Endocrine Therapy 1","Advanced/Metastatic Breast Cancer, HER2-Positive Metastatic Breast Can","Dalpiciclib, Anti-HER2 Therapy, and Endocrine Therapy for Hormone-Receptor-Positive, HER2-Positive Metastatic Breast Can"
NCT01872260,aromatase_inhibitor,,False,False,False,False,255,18 Years,100 Years,ACTIVE_NOT_RECRUITING,2013-10-22,Novartis Pharmaceuticals,"LEE011, Letrozole, BYL719",Breast Cancer,"Study of LEE011, BYL719 and Letrozole in Advanced ER+ Breast Cancer"
NCT02491320,aromatase_inhibitor,,False,False,False,False,384,20 Years,40 Years,COMPLETED,2015-08,The First Affiliated Hospital of Guangzh,"Pre-treatment acupuncture, Letrozole",Polycystic Ovary Syndrome,The Clinical Trial of Acupuncture Pre-treatment on PCOS
NCT01693289,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,146,18 Years,35 Years,COMPLETED,2012-01,Zagazig University,"metformin plus letrozole, ovarian drilling",Focus of Study,Study to Compare Between Combimed Metformin-letrozole and Ovarian Drilling in Pcos With Bilateral Ovarian Drilling in Cl
NCT04049227,aromatase_inhibitor,,False,False,False,False,27,18 Years,,COMPLETED,2019-08-12,Northwestern University,"Abemaciclib, Letrozole, Therapeutic Conventional Surgery",Endometrial Endometrioid Adenocarcinoma,Abemaciclib and Letrozole in Treating Patients With Endometrial Cancer
NCT07616427,,,False,False,False,False,100,18 Years,75 Years,RECRUITING,2026-05-20,"Second Affiliated Hospital, Zhejiang Uni","Fovinaciclib, Aromatase Inhibitors, Trastuzumab + Pertuzumab",HR+/HER2+ Early Breast Cancer,Fovinaciclib Plus Aromatase Inhibitors and Dual HER2 Blockade in a Response-Adapted Neoadjuvant Strategy for HR-Positive
NCT00208273,aromatase_inhibitor,,False,False,False,False,150,18 Years,,COMPLETED,2005-01,Institut du Cancer de Montpellier - Val ,"Letrozole - Concomitant, Letrozole - Sequential",Breast Cancer,Concomitant and Sequential Radiohormonotherapy in Adjuvant Breast Cancer
NCT06585969,,,False,False,False,False,0,18 Years,,WITHDRAWN,2026-01-01,Danish Breast Cancer Cooperative Group,"Trastuzumab deruxtecan (T-DXd), Ribociclib with ET, Abemaciclib with ET","Metastatic Breast Cancer, ER-positive Breast Cancer, Luminal B, Her2 E","A Randomised Trial Comparing Trastuzumab Deruxtecan to CDK4/6 Inhibitors in Non-luminal A, ER-positive/HER2-low Metastat"
NCT01272037,aromatase_inhibitor|estrogen_blockade,,False,False,False,True,5018,18 Years,,ACTIVE_NOT_RECRUITING,2011-02-28,National Cancer Institute (NCI),"Anastrozole, Exemestane, Laboratory Biomarker Analysis, Letrozole, Quality-of-Life Assessment, Systemic Chemotherapy, Ta","Breast Ductal Carcinoma In Situ, Invasive Breast Carcinoma, Multicentr","Tamoxifen Citrate, Letrozole, Anastrozole, or Exemestane With or Without Chemotherapy in Treating Patients With Invasive"
NCT03424005,aromatase_inhibitor|estrogen_blockade,,False,False,False,False,1132,18 Years,,RECRUITING,2018-03-30,Hoffmann-La Roche,"Capecitabine, Atezolizumab, Ipatasertib, SGN-LIV1A, Bevacizumab, Chemotherapy (Gemcitabine + Carboplatin or Eribulin), S",Metastatic Breast Cancer,A Study Evaluating the Efficacy and Safety of Multiple Treatment Combinations in Patients With Metastatic or Locally Adv
