Symbol	Diffrna-MFS_perichondrium_starMin33_PC-mut_vs_PC-WT	RowSum	RowMean	RowSampleSD	RowSampleCV	Description	ReadWrite_SCPs	ReadWrite_human_symbols
CEP131	-1.16125893592834	0	0	0	0	centrosomal protein 131		CEP131
CEP170	0.536030948162079	0	0	0	0	centrosomal protein 170		CEP170
CEP170B	-0.7014040350914	0	0	0	0	centrosomal protein 170B		CEP170B
CEP295NL	-3.19992280006409	0	0	0	0	CEP295 N-terminal like		CEP295NL
CEP55	0.828983664512634	0	0	0	0	centrosomal protein 55		CEP55
CEP85L	0.650926351547241	0	0	0	0	centrosomal protein 85-like		CEP85L
CERCAM	-0.78419291973114	0	0	0	0	cerebral endothelial cell adhesion molecule		CERCAM
CFL1	-0.930699110031128	0	0	0	0	cofilin 1, non-muscle		CFL1
CHAD	-1.20586276054382	0	0	0	0	chondroadherin		CHAD
CHIL3	4.88206911087036	0	0	0	0	chitinase-like 3		CHIL3
CHMP1A	-0.567909181118011	0	0	0	0	charged multivesicular body protein 1A		CHMP1A
CHMP6	-0.635948359966278	0	0	0	0	charged multivesicular body protein 6		CHMP6
CHPF	-0.906456828117371	0	0	0	0	chondroitin polymerizing factor		CHPF
CHPF2	-0.591530025005341	0	0	0	0	chondroitin polymerizing factor 2		CHPF2
CHPT1	0.463897466659546	0	0	0	0	choline phosphotransferase 1		CHPT1
CHRNA1	-1.28993606567383	0	0	0	0	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)		CHRNA1
CHST12	-0.980285882949829	0	0	0	0	carbohydrate sulfotransferase 12		CHST12
CHST13	-0.963493227958679	0	0	0	0	carbohydrate sulfotransferase 13		CHST13
CHST14	-0.80812931060791	0	0	0	0	carbohydrate sulfotransferase 14		CHST14
CIBAR1	0.499377012252808	0	0	0	0	CBY1 interacting BAR domain containing 1		CIBAR1
CIC	-0.731571018695831	0	0	0	0	capicua transcriptional repressor		CIC
CISD3	-0.911333680152893	0	0	0	0	CDGSH iron sulfur domain 3		CISD3
CKB	-0.651989758014679	0	0	0	0	creatine kinase, brain		CKB
CLASRP	-1.18464052677155	0	0	0	0	CLK4-associating serine/arginine rich protein		CLASRP
CLCN5	0.625640273094177	0	0	0	0	chloride channel, voltage-sensitive 5		CLCN5
CLDN15	-2.16198301315308	0	0	0	0	claudin 15		CLDN15
CLDN9	-1.58963477611542	0	0	0	0	claudin 9		CLDN9
CLEC1A	0.942101418972015	0	0	0	0	C-type lectin domain family 1, member a		CLEC1A
CLEC3A	-1.97790515422821	0	0	0	0	C-type lectin domain family 3, member a		CLEC3A
CLEC3B	-1.02560019493103	0	0	0	0	C-type lectin domain family 3, member b		CLEC3B
CLHC1	2.85657811164856	0	0	0	0	clathrin heavy chain linker domain containing 1		CLHC1
CLIP3	-0.783698856830597	0	0	0	0	CAP-GLY domain containing linker protein 3		CLIP3
CLK1	0.728430211544037	0	0	0	0	CDC-like kinase 1		CLK1
CLK4	0.671412169933319	0	0	0	0	CDC like kinase 4		CLK4
CLOCK	0.704266130924225	0	0	0	0	circadian locomotor output cycles kaput		CLOCK
CLPB	-0.713232100009918	0	0	0	0	ClpB caseinolytic peptidase B		CLPB
CLTB	-0.76904171705246	0	0	0	0	clathrin, light polypeptide (Lcb)		CLTB
CLU	-0.840211153030396	0	0	0	0	clusterin		CLU
CLVS1	0.534474670886993	0	0	0	0	clavesin 1		CLVS1
CMA1	-0.928337693214417	0	0	0	0	chymase 1, mast cell		CMA1
CMIP	-0.762765944004059	0	0	0	0	c-Maf inducing protein		CMIP
CNOT6L	0.598571181297302	0	0	0	0	CCR4-NOT transcription complex, subunit 6-like		CNOT6L
COL16A1	-0.497486710548401	0	0	0	0	collagen, type XVI, alpha 1		COL16A1
COL18A1	-0.611337661743164	0	0	0	0	collagen, type XVIII, alpha 1		COL18A1
COL1A1	-0.585126101970673	0	0	0	0	collagen, type I, alpha 1		COL1A1
COL26A1	-1.23904526233673	0	0	0	0	collagen, type XXVI, alpha 1		COL26A1
COL4A2	-1.10936689376831	0	0	0	0	collagen, type IV, alpha 2		COL4A2
