nct,cond,title,ivnames,u,outcome,cat,disp,growthdx,growthdrug,restore,arm,av,an,ref,rv,rn,diff,se,z,p
NCT02918279,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With,Liraglutide ; Placebo,Z,Change in Height SDS,Change from week 0 to week 56,Standard Deviation,False,False,True,Liraglutide 3.0 mg,0.2,125,Placebo,0.24,126,-0.04,0.036,-1.11,0.26679
NCT02918279,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With,Liraglutide ; Placebo,Z,Change in Height SDS,Change from week 56 to week 82,Standard Deviation,False,False,True,Liraglutide 3.0 mg,0.07,125,Placebo,0.06,126,0.01,0.0179,0.56,0.5756
NCT03676751,Child Growth ; Diversity of Microbiome ; Child Mortality ; R,MORDOR II Burkina Faso: Longitudinal Trial,Azithromycin ; Placebo,cm,Change in Height Over Time,,Standard Deviation,False,False,False,Azithromycin,91.6,200,Placebo,91.3,189,0.3,1.1206,0.268,0.78892
NCT03204786,Autism ; Autism Spectrum Disorder ; ASD,Intranasal Vasopressin Treatment in Children With Autism,Vasopressin (USP) Injectable Solution [Vasostrict] ; Placebo,cm,Change From Baseline on Height During Treatment.,4-weeks (end of treatment period 1),Standard Error,False,False,False,Vasopressin-Vasopressin,142.0,23,Placebo-Vasopressin,148.0,46,-6.0,6.7695,-0.886,0.37544
NCT03204786,Autism ; Autism Spectrum Disorder ; ASD,Intranasal Vasopressin Treatment in Children With Autism,Vasopressin (USP) Injectable Solution [Vasostrict] ; Placebo,cm,Change From Baseline on Height During Treatment.,8-weeks (end of treatment period 2),Standard Error,False,False,False,Vasopressin-Vasopressin,145.0,23,Placebo-Vasopressin,148.0,46,-3.0,5.4766,-0.548,0.58384
NCT03020719,Cystic Fibrosis,The Role of Oral Glutathione on Growth Parameters in Children With Cystic Fibros,Oral Glutathione ; Placebo,Z,Change in Height-for-age Z-score,,Standard Deviation,False,False,True,Oral Glutathione,-0.04,30,Placebo,0.03,28,-0.07,0.0488,-1.434,0.1517
NCT00000575,Asthma ; Lung Diseases,"Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (C",Placebo ; Nedocromil ; Budesonide,cm,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",,Standard Deviation,False,False,True,1 Budesonide,22.7,311,3 Placebo,23.8,418,-1.1,0.4044,-2.72,0.00652
NCT00000575,Asthma ; Lung Diseases,"Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (C",Placebo ; Nedocromil ; Budesonide,cm,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",,Standard Deviation,False,False,True,2 Nedocromil,23.7,312,3 Placebo,23.8,418,-0.1,0.404,-0.248,0.80451
NCT03198078,Schizophrenia,Trial to Evaluate the Short-term Safety & Efficacy of Brexpiprazole Monotherapy ,Brexpiprazole (OPC-34712) ; Aripiprazole ; Placebo,cm,Mean Change From Baseline in Height,,Standard Deviation,False,False,False,Brexpiprazole,0.2,108,Placebo,0.3,96,-0.1,0.1223,-0.818,0.41349
NCT03198078,Schizophrenia,Trial to Evaluate the Short-term Safety & Efficacy of Brexpiprazole Monotherapy ,Brexpiprazole (OPC-34712) ; Aripiprazole ; Placebo,cm,Mean Change From Baseline in Height,,Standard Deviation,False,False,False,Aripiprazole,0.2,99,Placebo,0.3,96,-0.1,0.2978,-0.336,0.73705
NCT04596631,"Diabetes Mellitus, Type 2",A Research Study to Compare a New Medicine Oral Semaglutide to a Dummy Medicine ,Oral semaglutide ; Placebo (semaglutide),cm/yr,Height Velocity at Week 26 and Week 52,Week 26,Standard Deviation,False,False,False,Oral Semaglutide,1.5,65,Placebo,1.8,61,-0.3,0.3831,-0.783,0.43356
NCT04596631,"Diabetes Mellitus, Type 2",A Research Study to Compare a New Medicine Oral Semaglutide to a Dummy Medicine ,Oral semaglutide ; Placebo (semaglutide),cm/yr,Height Velocity at Week 26 and Week 52,Week 52,Standard Deviation,False,False,False,Oral Semaglutide,1.0,65,Placebo,0.8,61,0.2,0.3118,0.641,0.52125
NCT03197766,Achondroplasia,A Study to Evaluate the Efficacy and Safety of BMN 111 in Children With Achondro,BMN 111 ; Placebo,cm/yr,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,,95% Confidence Interval,True,True,False,BMN 111 - 15 μg/kg,1.71,60,Placebo,0.13,61,1.58,,,
NCT03197766,Achondroplasia,A Study to Evaluate the Efficacy and Safety of BMN 111 in Children With Achondro,BMN 111 ; Placebo,Z,Change From Baseline in Height Z-score at Week 52,,95% Confidence Interval,True,True,False,BMN 111 - 15 μg/kg,0.27,60,Placebo,-0.01,61,0.28,,,
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Gr,"rhIGF-1 (mecasermin, Tercica, Inc.)",cm/yr,Height Velocity During the First Year - Intent to Treat (ITT)Population,,Standard Deviation,True,True,True,80 μg/kg BID (Twice Daily Dosing),6.9,42,Untreated,5.2,22,1.7,0.2632,6.459,0.0
