gene	youth_z
RAB3IP	0.4835
ALOX12	0.4833
SRGAP2	0.4832
MICU1	0.4831
XYLT2	0.4822
BMP6	0.4817
MICAL1	0.4817
CSPP1	0.4811
RBFOX2	0.4801
PGM1	0.4800
RRAS2	0.4784
ITM2A	0.4781
MRAS	0.4773
DDX27	0.4771
STC2	0.4765
NEK1	0.4762
FAM193B	0.4757
SLC25A1	0.4750
UCK2	0.4748
EPHB3	0.4747
TATDN2	0.4745
FASN	0.4736
SESN1	0.4732
CNNM4	0.4721
PMP22	0.4717
PSMD3	0.4716
UBOX5	0.4710
RBM5	0.4694
MAPKBP1	0.4685
KCTD15	0.4677
CEP85	0.4674
ZFP692	0.4665
NCOR2	0.4663
TACC1	0.4656
NOP14	0.4656
MAP1B	0.4639
SOX6	0.4633
PAK3	0.4623
SLC35E1	0.4617
HMOX1	0.4614
RUFY3	0.4613
DVL3	0.4611
TGM2	0.4607
ZSWIM8	0.4603
PLEKHN1	0.4594
FIP1L1	0.4593
TSSC4	0.4593
ARHGEF25	0.4591
MARK3	0.4583
LRRC4	0.4583
WHAMM	0.4583
RBSN	0.4580
MTHFD1L	0.4575
CLEC3A	0.4574
ACACA	0.4572
MTMR14	0.4571
STK11	0.4561
AGTPBP1	0.4553
PCED1A	0.4550
NACA	0.4545
AUP1	0.4542
PHTF1	0.4542
RPTOR	0.4538
OTUD7B	0.4533
PID1	0.4527
EIF5B	0.4526
SPIRE1	0.4512
C2CD5	0.4510
SLC6A9	0.4507
WDR55	0.4504
GAPDH	0.4499
CSNK1E	0.4498
LETM1	0.4496
WDR20	0.4489
TIMM44	0.4485
EDC4	0.4483
SMC5	0.4465
ACIN1	0.4460
SNRNP35	0.4459
WDHD1	0.4459
BRD9	0.4455
CSGALNACT1	0.4451
CRTC1	0.4450
DDX24	0.4442
PCIF1	0.4441
ARFIP2	0.4436
TSPYL2	0.4433
FAF2	0.4432
MEGF8	0.4429
PRKG2	0.4427
TTL	0.4415
PSMD14	0.4405
ATP6V0A1	0.4403
SNTB2	0.4401
SLC10A7	0.4400
PABPN1	0.4387
RHOBTB1	0.4381
SQLE	0.4380
ATG13	0.4373
EPS15L1	0.4370
RIOK1	0.4360
ZBTB40	0.4358
ZFP523	0.4357
NXF1	0.4350
PCGF6	0.4349
COL27A1	0.4347
RAB3GAP2	0.4344
ZC3H18	0.4343
SMG6	0.4334
APBB3	0.4329
MAP9	0.4327
LRRK1	0.4322
HMGCS1	0.4321
PSMC4	0.4314
LENG1	0.4313
IRAK2	0.4312
TUT1	0.4309
GALK1	0.4307
MTO1	0.4301
RBM26	0.4300
ARFGAP1	0.4286
SRFBP1	0.4280
SLC17A9	0.4280
ASB6	0.4269
OTUD4	0.4266
COMP	0.4265
BRPF1	0.4260
ZCCHC17	0.4259
FIG4	0.4257
NF2	0.4254
MAP3K3	0.4248
ACTN4	0.4247
SPATS2	0.4245
TMEM43	0.4240
SIK3	0.4238
PRRX1	0.4235
ZFP652	0.4233
GLS	0.4232
SH3BP5	0.4227
PDLIM5	0.4224
ARHGEF9	0.4223
PDIA5	0.4221
LEMD3	0.4221
BRPF3	0.4216
COL15A1	0.4211
CCNK	0.4211
ILKAP	0.4205
MMS19	0.4199
TM7SF3	0.4197
PLTP	0.4196
ABTB2	0.4196
RPGRIP1L	0.4194
SOX9	0.4192
UBR4	0.4190
ACAN	0.4189
ATXN1	0.4187
KCTD9	0.4184
ENAH	0.4183
BRD8	0.4180
S100PBP	0.4179
RREB1	0.4176
APEH	0.4175
LRBA	0.4173
AGO3	0.4169
LDHA	0.4165
EIF2B2	0.4165
ABCA5	0.4161
MYNN	0.4159
RSRC2	0.4158
DCHS1	0.4152
REXO4	0.4150
OPTN	0.4149
ZBTB21	0.4148
RHOC	0.4148
DCAF6	0.4146
RIC8B	0.4146
STOML2	0.4145
CCND2	0.4144
TNRC18	0.4140
RAB35	0.4138
YTHDC1	0.4138
COG2	0.4130
STAM	0.4130
TRRAP	0.4129
TRIM25	0.4125
KDM4A	0.4125
RPP21	0.4122
DNAJB12	0.4120
FTL1	0.4114
TNIP1	0.4114
GTF2F2	0.4109
GOLGA4	0.4108
PPP6R2	0.4106
TOM1L2	0.4103
PANX3	0.4101
WDR18	0.4098
ITPR2	0.4096
ATG9A	0.4096
XPO1	0.4095
SLC20A2	0.4093
EXOC1	0.4091
NEMF	0.4090
GTF3C1	0.4090
PGAM1	0.4074
ULK1	0.4068
COL11A2	0.4059
INO80	0.4057
SRSF11	0.4057
ARHGAP12	0.4055
TCF7L1	0.4053
AKT3	0.4048
MRPS2	0.4045
WDTC1	0.4042
CUL4A	0.4042
BIN3	0.4038
LPIN1	0.4038
NFX1	0.4036
NOL10	0.4035
USP54	0.4032
PACSIN2	0.4029
WNK3	0.4027
PLXNB2	0.4025
PARP6	0.4022
USP53	0.4008
SPECC1L	0.4008
INSR	0.4007
PER3	0.4005
NID2	0.4004
PHKA1	0.4004
SEC61A2	0.3999
UGP2	0.3998
CDYL	0.3998
LENG8	0.3996
NFIC	0.3996
ARGLU1	0.3994
PPP1R10	0.3993
KRAS	0.3983
CEP162	0.3981
CRAT	0.3981
OTUD6B	0.3980
MAPK6	0.3978
HBS1L	0.3978
FBXO42	0.3973
AP3D1	0.3971
PCYT1A	0.3969
CCNL1	0.3965
CORO1B	0.3962
FSCN1	0.3961
CAND2	0.3958
ATP13A1	0.3958
DDX42	0.3956
CEP295	0.3956
SC5D	0.3953
PPAN	0.3952
SHISA4	0.3952
PIP4K2C	0.3943
ANKS3	0.3940
ACSL1	0.3935
ABL2	0.3932
HIVEP1	0.3932
TIMM17A	0.3929
PTPRS	0.3929
LOXL4	0.3928
KCTD3	0.3927
FAM135A	0.3923
TIPRL	0.3922
VPS16	0.3916
LUC7L3	0.3916
THOC5	0.3907
FRMD8	0.3904
ITGA5	0.3894
INTS10	0.3892
NCOA5	0.3888
ZFP143	0.3884
TMBIM1	0.3883
KAT5	0.3881
STK16	0.3881
TNFRSF10B	0.3879
SPSB1	0.3879
UGDH	0.3879
JMJD6	0.3874
TGFBI	0.3870
SLC7A5	0.3869
SOBP	0.3862
PKMYT1	0.3859
SLC9A1	0.3857
SLC9A8	0.3847
PPP2R2D	0.3841
POLDIP3	0.3840
U2AF1	0.3840
GPS2	0.3832
GBE1	0.3830
SGMS2	0.3827
IMP4	0.3826
COPS7B	0.3825
KDM1A	0.3825
PRPF4B	0.3823
PRPF3	0.3819
RPSA	0.3814
BTRC	0.3810
DLC1	0.3809
PAXIP1	0.3797
KCTD10	0.3797
NOMO1	0.3796
CDC42BPB	0.3793
ATE1	0.3789
HIPK2	0.3787
SLC13A5	0.3782
ARAP2	0.3781
NVL	0.3781
CCHCR1	0.3779
PDAP1	0.3779
FDFT1	0.3766
PCDH9	0.3760
CHPF	0.3760
CXXC1	0.3760
ARHGAP39	0.3758
GJC1	0.3753
NFXL1	0.3751
MCM3AP	0.3749
CEP104	0.3747
GFPT2	0.3747
SCD2	0.3744
PSMC1	0.3732
ZFP64	0.3732
SLC38A4	0.3730
EIF6	0.3730
DNAJB6	0.3727
SETDB1	0.3725
IRS1	0.3717
IFFO1	0.3707
SLC30A9	0.3704
MYBL2	0.3704
UPF2	0.3703
LGALS3	0.3703
SF3A2	0.3702
ZFPM1	0.3702
FNDC3B	0.3700
NSDHL	0.3700
NEK8	0.3699
TYK2	0.3695
GOLGB1	0.3689
CNPPD1	0.3685
DCTN1	0.3685
PCDHGA10	0.3683
TSPYL1	0.3680
CHPF2	0.3678
PTP4A3	0.3675
KIN	0.3674
CHERP	0.3668
ITFG2	0.3668
ZFPM2	0.3665
OTUB1	0.3665
FAM180A	0.3662
NCLN	0.3660
