gene	youth_z
ANP32A	0.0802
SNW1	0.0800
DHRS1	0.0799
ZFP275	0.0797
TPR	0.0797
LGALS8	0.0796
ANKHD1	0.0790
VPS35	0.0789
ARL3	0.0788
RPL3	0.0783
LMNB1	0.0783
RASSF1	0.0783
TKT	0.0782
PIK3CB	0.0781
SIN3A	0.0780
SCAP	0.0774
SNRPB	0.0772
PLEKHG5	0.0769
UNG	0.0767
PAFAH1B1	0.0766
EEF1A1	0.0766
TARDBP	0.0763
RABGGTB	0.0758
TLN1	0.0758
PAPOLA	0.0757
PIGN	0.0756
PHTF2	0.0756
MTDH	0.0746
MATR3	0.0743
GART	0.0743
DDX20	0.0741
BRD3	0.0736
B3GALNT2	0.0736
BICC1	0.0734
RPL4	0.0732
SMARCA2	0.0731
DHX33	0.0730
NEURL4	0.0729
CCND3	0.0728
CYB5R3	0.0727
PAPSS2	0.0727
TBL1X	0.0727
NOTCH2	0.0724
ARPC3	0.0721
TUBA1B	0.0718
TUBB6	0.0716
DCAF17	0.0714
PYGO2	0.0713
PCCA	0.0711
TRIM23	0.0708
STK10	0.0706
CPSF6	0.0705
GTF3C4	0.0704
CAPRIN1	0.0703
SLC35A4	0.0700
EXOC2	0.0698
SMARCAL1	0.0698
REST	0.0696
CREB3L2	0.0696
WAC	0.0696
KLF6	0.0696
ZFP451	0.0695
RNF26	0.0694
FEM1C	0.0690
CNDP2	0.0689
MLEC	0.0689
CTTNBP2NL	0.0688
TJP1	0.0686
SEC16B	0.0686
SH3PXD2A	0.0682
COPS7A	0.0682
SIRT6	0.0680
SLK	0.0679
MTA1	0.0678
GATAD2B	0.0677
DUSP18	0.0677
PANK3	0.0676
BUB1B	0.0676
CEP76	0.0675
MBD2	0.0675
NAP1L1	0.0675
UBE2D1	0.0674
NUP50	0.0673
STAT5B	0.0673
DDRGK1	0.0672
NUP98	0.0669
TERF2IP	0.0669
TANC1	0.0664
TCF12	0.0663
TAOK3	0.0659
SNX1	0.0658
VPS29	0.0657
FAM204A	0.0654
EIF3C	0.0653
DNAJC7	0.0651
FBXO25	0.0651
PGAP2	0.0650
IMPDH2	0.0649
SCAMP2	0.0646
SNX2	0.0644
PHLPP1	0.0643
RPRD1B	0.0643
CNBP	0.0642
NMD3	0.0641
SNX5	0.0641
WDR81	0.0641
NEK9	0.0639
ATAD2	0.0639
ZMIZ1	0.0639
RPS14	0.0637
ADPGK	0.0635
UHMK1	0.0635
WBP4	0.0633
MPHOSPH9	0.0633
ZFP507	0.0631
PTP4A1	0.0631
PTK7	0.0631
PPM1B	0.0628
HIPK3	0.0628
PHF20L1	0.0627
ZFP426	0.0620
MAP3K12	0.0619
SLC25A28	0.0618
DGCR8	0.0616
CLIC1	0.0616
HERC4	0.0615
MAP3K2	0.0613
ILK	0.0612
PRMT5	0.0611
DCTN4	0.0610
DAD1	0.0610
WDR26	0.0608
CDK2AP1	0.0607
POLG	0.0602
NFATC1	0.0600
TCF20	0.0599
DDX47	0.0597
RANBP10	0.0595
LRPAP1	0.0595
CEBPZ	0.0594
NIF3L1	0.0592
ZFP84	0.0591
POLQ	0.0590
SHISA5	0.0590
LYSMD3	0.0589
NCSTN	0.0587
TMED5	0.0586
NEDD4	0.0586
ARPC4	0.0584
DEK	0.0583
RPS5	0.0575
CDKN1B	0.0575
RAD50	0.0575
DAP3	0.0575
PDE12	0.0573
CSK	0.0571
RALGAPB	0.0570
COBL	0.0570
TINF2	0.0569
MED17	0.0569
GPHN	0.0568
SYNJ1	0.0566
EZH1	0.0565
SAE1	0.0563
FAM117B	0.0556
BORA	0.0555
NDUFV1	0.0555
LRRC8A	0.0555
NR2C1	0.0552
CYB5R4	0.0552
UBE2J1	0.0552
SRSF2	0.0550
CLK2	0.0548
HECA	0.0543
POLR2M	0.0540
RAD21	0.0540
ARL5B	0.0538
XRN2	0.0534
TOMM20	0.0531
ATF2	0.0530
IK	0.0530
MRPL3	0.0529
PPM1G	0.0527
PCDHGA5	0.0525
CUL5	0.0522
SLC2A13	0.0521
LRRC57	0.0520
SMC1A	0.0517
LASP1	0.0517
EIF1A	0.0515
SAR1A	0.0515
RPL5	0.0511
SPNS1	0.0509
CUL2	0.0506
LRRFIP1	0.0505
ZMAT3	0.0504
RASSF3	0.0504
HACD3	0.0503
CHFR	0.0500
HNRNPK	0.0500
NEDD9	0.0494
LRRK2	0.0492
CHKA	0.0492
OSBPL2	0.0491
RPS16	0.0490
SOX8	0.0487
RAB5B	0.0486
ANKRD49	0.0485
PDCD6	0.0485
CNPY3	0.0484
SENP6	0.0483
NAP1L4	0.0478
GNAI2	0.0475
TSNAX	0.0475
SRSF3	0.0475
ENSA	0.0473
LPCAT4	0.0471
BIRC6	0.0469
DERL1	0.0469
CCDC50	0.0468
RER1	0.0466
P3H1	0.0465
POMT1	0.0463
HADHA	0.0463
NFYB	0.0461
FAM120A	0.0459
TFDP1	0.0455
AFTPH	0.0455
KIF5B	0.0454
CCT8	0.0452
HACE1	0.0452
HSPA8	0.0452
BUB3	0.0451
RAP1GDS1	0.0449
USP25	0.0447
ZFP292	0.0445
PPTC7	0.0444
GAS5	0.0442
TTC17	0.0441
PLK4	0.0437
HNRNPH1	0.0437
NRIP1	0.0436
FLII	0.0436
FBXL3	0.0436
MLF2	0.0436
SGSM3	0.0431
LGR4	0.0431
NAPG	0.0427
RRP7A	0.0427
SIL1	0.0427
SMO	0.0426
FOXN3	0.0425
TOR1AIP2	0.0424
ANGPTL2	0.0423
MTMR11	0.0418
PARP2	0.0416
ARMCX2	0.0413
GPAA1	0.0411
HNRNPA2B1	0.0410
AGAP3	0.0410
SLC12A7	0.0410
GABPB1	0.0408
STON1	0.0407
CCDC80	0.0407
IDE	0.0406
CYFIP1	0.0405
GRSF1	0.0403
PHF2	0.0400
RTN3	0.0399
SLC39A13	0.0398
SLC35B2	0.0397
CAPZA1	0.0397
SUMO1	0.0397
VPS39	0.0395
EPDR1	0.0395
MDC1	0.0393
SCFD1	0.0393
ZFHX4	0.0393
MICU2	0.0392
ACSL5	0.0390
PPP1R21	0.0390
RPAP1	0.0388
PRPF40A	0.0388
CSNK1A1	0.0385
RPL22	0.0384
SLC25A44	0.0381
KIF20A	0.0381
SFXN1	0.0379
SESTD1	0.0378
PYGB	0.0377
ZDHHC21	0.0377
MDH2	0.0376
PAPSS1	0.0373
TMCC2	0.0372
EIF2AK2	0.0372
SRSF7	0.0371
DNAJA2	0.0371
SOS1	0.0370
ATP7A	0.0369
SPG21	0.0369
PNPT1	0.0368
POLR3GL	0.0367
JMJD1C	0.0366
COPS4	0.0364
MSL1	0.0362
ZFP746	0.0356
USP40	0.0354
LRIG2	0.0354
ALMS1	0.0353
NUP160	0.0351
PLEKHA3	0.0351
PPP1CC	0.0347
DENND5A	0.0345
ANXA6	0.0344
AQR	0.0344
CCT3	0.0341
PLEKHA8	0.0340
LATS2	0.0338
CNPY4	0.0338
SRSF9	0.0337
TRIM26	0.0334
RNF5	0.0334
SUMF2	0.0328
TPD52L2	0.0327
FAM13B	0.0327
PXN	0.0324
PDIA4	0.0321
MTPN	0.0320
PTRH2	0.0320
IMPDH1	0.0319
TXNDC12	0.0318
RAB8A	0.0318
STT3A	0.0317
DDR2	0.0316
TBL1XR1	0.0316
PPIP5K1	0.0314
RPL13A	0.0311
EXOC6B	0.0310
CS	0.0308
PSMA4	0.0308
TEX10	0.0306
SYNCRIP	0.0305
ZMYM6	0.0303
MED10	0.0302
SMCR8	0.0300
GGCX	0.0299
HYPK	0.0290
NEDD4L	0.0288
TRAK2	0.0287
PICALM	0.0285
ABI2	0.0285
OAT	0.0280
RNF185	0.0273
IPO13	0.0268
RNF217	0.0267
EIF3K	0.0265
EIF3H	0.0265
PLEKHA1	0.0263
NAPA	0.0261
DSTYK	0.0261
FNIP1	0.0259
PDCD10	0.0258
TSPAN13	0.0256
CBX5	0.0255
ASNSD1	0.0255
EPM2AIP1	0.0254
CAPZB	0.0254
SDC3	0.0254
USP7	0.0253
PTPN14	0.0251
SMARCD1	0.0249
EIF4G2	0.0248
EIF2AK1	0.0247
ZBTB43	0.0246
PRKACA	0.0246
CLPX	0.0245
DPP9	0.0241
WDR7	0.0240
APPBP2	0.0239
OTULIN	0.0239
VDR	0.0238
ARL4A	0.0237
EMILIN1	0.0237
CACUL1	0.0236
ETV6	0.0235
CELF1	0.0234
RTN4	0.0232
MIER1	0.0231
CYP26B1	0.0229
GMPR2	0.0229
OGDH	0.0229
NPAT	0.0228
BNIP2	0.0228
KAT6A	0.0226
TMEM164	0.0225
PSMD6	0.0224
NUP155	0.0222
LMAN1	0.0221
IFT20	0.0220
ARHGAP11A	0.0219
PARG	0.0219
BAG3	0.0218
PHC2	0.0213
UBE2K	0.0213
SLC16A1	0.0212
DAG1	0.0211
TMEM129	0.0211
FOXM1	0.0211
VAC14	0.0207
CAPN7	0.0206
GORASP2	0.0205
EIF3L	0.0203
KANK2	0.0202
CSDE1	0.0202
DNAJB11	0.0202
THADA	0.0201
USP6NL	0.0199
TOR1B	0.0197
TRAPPC6B	0.0195
PSMC5	0.0189
RCN1	0.0189
ANKRD13C	0.0188
ENTPD6	0.0185
SMARCAD1	0.0184
TFG	0.0183
UCKL1	0.0181
RAB33B	0.0181
B3GNT2	0.0180
EIF4E	0.0176
PGRMC2	0.0174
ZFP574	0.0174
PLA2G4A	0.0170
ZHX2	0.0170
PDIA6	0.0168
ST13	0.0159
CCAR1	0.0156
BANF1	0.0155
DKC1	0.0154
PLEKHF1	0.0153
PPP2R1B	0.0149
ATP2B4	0.0147
CCNI	0.0147
TMEM63A	0.0146
ABCC4	0.0142
KIFC3	0.0140
CMIP	0.0136
GTPBP2	0.0135
SSR2	0.0134
UBQLN1	0.0131
CXCR4	0.0130
MPP7	0.0127
LIN54	0.0126
MGAT5	0.0122
ZMPSTE24	0.0121
HDGF	0.0120
VAV3	0.0116
LMF2	0.0114
ACTN1	0.0114
PPP2R2A	0.0112
FNIP2	0.0111
UXS1	0.0109
UBL3	0.0108
SCARB2	0.0106
FADS1	0.0103
UQCRQ	0.0103
COPS3	0.0102
RALA	0.0102
ME2	0.0101
ATL2	0.0099
ATF1	0.0098
S100A10	0.0096
RNF145	0.0096
EEF1B2	0.0089
NELFA	0.0086
GXYLT1	0.0086
RALGAPA1	0.0085
POMGNT1	0.0084
PLAA	0.0082
ADIPOR1	0.0080
NPM1	0.0080
SULF1	0.0077
ZBTB44	0.0074
CCNG1	0.0074
MAPK1IP1L	0.0073
ARID5B	0.0072
AP1AR	0.0072
CAMSAP2	0.0072
CHMP3	0.0067
FAM168A	0.0065
TTC14	0.0064
PSMA7	0.0063
WDR12	0.0061
KDELR2	0.0061
CTDSP1	0.0058
METAP2	0.0058
KIF20B	0.0058
EIF2B5	0.0058
MIB1	0.0055
CNOT7	0.0054
ATAD2B	0.0053
TBC1D5	0.0052
AZI2	0.0051
ZFAND6	0.0050
ZBTB39	0.0047
EMP3	0.0046
TIA1	0.0045
TAX1BP1	0.0044
BCL6	0.0043
KATNA1	0.0041
ACO2	0.0037
RPL17	0.0034
FKBP4	0.0034
TRAPPC8	0.0033
TBC1D9B	0.0033
EML4	0.0033
DBR1	0.0032
DUS3L	0.0031
SNAP23	0.0028
PRPF18	0.0028
RIPK1	0.0028
SLC12A2	0.0028
CEP57	0.0027
STAT3	0.0023
MAGED1	0.0021
WDR45	0.0021
NDUFB8	0.0021
RPS3	0.0020
SH2D3C	0.0018
CNOT4	0.0017
SS18	0.0015
SERBP1	0.0014
ARHGEF12	0.0013
MAVS	0.0013
TUBB5	0.0012
FIBP	0.0012
TCEAL8	0.0012
TMEM168	0.0009
ACTR10	0.0009
SIRPA	0.0005
MAP2K2	0.0003
LRP10	0.0001
IFT52	-0.0000
HSDL2	-0.0000
CD2AP	-0.0003
MRFAP1	-0.0005
SUB1	-0.0006
TMSB10	-0.0007
MTHFD2	-0.0013
NARF	-0.0016
IGSF6	-0.0017
SNX17	-0.0017
SEC63	-0.0017
RNF216	-0.0017
ATP6V1H	-0.0023
TMEM263	-0.0025
OLA1	-0.0025
MYLK	-0.0029
RCN2	-0.0030
SRXN1	-0.0030
CLTC	-0.0031
TGIF1	-0.0033
TRIM37	-0.0033
TNS3	-0.0034
TFAM	-0.0039
SOX4	-0.0041
TRPM7	-0.0043
CLTA	-0.0049
SERPINB6A	-0.0049
KLHL20	-0.0049
NOC3L	-0.0050
NDUFA10	-0.0054
RAB21	-0.0056
PSMA5	-0.0057
MECP2	-0.0057
MAEA	-0.0057
CTC1	-0.0059
YIF1A	-0.0059
CHN1	-0.0059
LINGO1	-0.0061
TTC21B	-0.0062
MTFR1L	-0.0068
HARS2	-0.0073
FAT4	-0.0074
PIK3C3	-0.0075
ZMYM3	-0.0076
RAB14	-0.0077
RNF2	-0.0078
ARL8A	-0.0079
GGPS1	-0.0079
ACTR1A	-0.0084
AGPAT4	-0.0085
TADA2B	-0.0086
RCN3	-0.0086
DYNLL1	-0.0087
RPS11	-0.0091
EXOC3	-0.0091
ATL3	-0.0097
RPS10	-0.0098
SEC13	-0.0100
NDC1	-0.0101
ZFAND5	-0.0104
MKLN1	-0.0105
EAPP	-0.0105
PWWP2A	-0.0106
SSRP1	-0.0106
TSKU	-0.0109
CSNK1G3	-0.0110
PPP3CA	-0.0112
ACSL3	-0.0113
CASP7	-0.0116
ZFP53	-0.0121
RNPEPL1	-0.0121
KIF2A	-0.0121
KCNMA1	-0.0123
CDR2	-0.0124
LNX2	-0.0124
EFCAB14	-0.0124
WDR74	-0.0124
SEC31A	-0.0127
STK3	-0.0129
RAB6A	-0.0129
PDIA3	-0.0130
ARHGAP35	-0.0130
HMGB2	-0.0132
DSE	-0.0134
PSMA1	-0.0134
ERGIC3	-0.0135
FHOD1	-0.0135
CASK	-0.0138
ADAMTS10	-0.0138
COPS6	-0.0139
TMEM68	-0.0142
STIM2	-0.0143
WWTR1	-0.0144
IGF2R	-0.0146
MRPL19	-0.0148
CFL1	-0.0150
RCOR3	-0.0151
HDHD2	-0.0151
BTD	-0.0155
CNOT11	-0.0157
CCT7	-0.0160
PPP1R8	-0.0164
AGO1	-0.0166
YWHAZ	-0.0166
ZFX	-0.0167
SLC25A39	-0.0167
SNX14	-0.0167
MYO1E	-0.0170
MAK16	-0.0171
HOOK3	-0.0175
NDE1	-0.0177
CLPTM1	-0.0178
RPL13	-0.0178
MBNL3	-0.0179
CSRNP2	-0.0181
USP42	-0.0181
PNP	-0.0182
HERPUD1	-0.0182
PDK3	-0.0184
CAPNS1	-0.0186
PDE10A	-0.0191
FLI1	-0.0193
TMEM248	-0.0193
NRBP1	-0.0194
CDCA8	-0.0195
SOD1	-0.0197
OXCT1	-0.0197
COPB2	-0.0197
RNF19A	-0.0198
UBA1	-0.0200
ARL6IP1	-0.0200
PTGR2	-0.0201
LSM6	-0.0203
RPL24	-0.0204
FSTL1	-0.0205
ZMAT2	-0.0207
TGFB1I1	-0.0208
MRPL12	-0.0208
TMX1	-0.0210
OGT	-0.0211
LRRC8C	-0.0213
RABGGTA	-0.0213
SLC18A2	-0.0214
PRR3	-0.0214
NUDCD1	-0.0214
HDAC3	-0.0215
UBE2R2	-0.0216
MPZL1	-0.0217
PPWD1	-0.0218
ELOVL5	-0.0224
ZFP46	-0.0225
NFKB1	-0.0226
RPN2	-0.0226
FOXO1	-0.0228
WDR46	-0.0229
WBP1L	-0.0230
PIK3CA	-0.0231
SUMO3	-0.0231
RPS29	-0.0240
FEN1	-0.0240
AGAP1	-0.0241
COPB1	-0.0243
ZKSCAN8	-0.0248
MAN1A2	-0.0249
LATS1	-0.0257
EIF4EBP2	-0.0258
SPON2	-0.0258
MAX	-0.0258
E2F6	-0.0262
ANKMY2	-0.0262
ARCN1	-0.0263
ARPC2	-0.0266
SPCS2	-0.0267
MASTL	-0.0268
ECI2	-0.0270
MRPL10	-0.0271
NCKAP1	-0.0274
POLR2B	-0.0275
ATF4	-0.0276
EPC2	-0.0278
MYO10	-0.0279
CASP8AP2	-0.0279
STRAP	-0.0279
PPP4R2	-0.0280
PRPSAP1	-0.0282
RPL10	-0.0282
MYO1D	-0.0288
LTN1	-0.0293
COG1	-0.0293
PSMB6	-0.0294
PCK2	-0.0295
ATG3	-0.0295
XPO5	-0.0296
DPAGT1	-0.0297
VAMP3	-0.0298
RHOB	-0.0305
CNTLN	-0.0307
DUS1L	-0.0315
TBCA	-0.0316
MCOLN2	-0.0317
RPS8	-0.0317
MRPL17	-0.0319
FAR1	-0.0320
AKTIP	-0.0321
TRA2B	-0.0323
VAPA	-0.0325
SEC24B	-0.0327
PTP4A2	-0.0330
TTC9C	-0.0335
VPS37A	-0.0335
CTBP1	-0.0335
CUL3	-0.0336
AKIRIN1	-0.0337
NLN	-0.0342
ZHX3	-0.0346
GLT8D1	-0.0346
SUCLG2	-0.0347
EBF1	-0.0347
FNTA	-0.0350
CTPS2	-0.0350
USP1	-0.0352
RPN1	-0.0353
ZBTB41	-0.0353
SRSF6	-0.0354
ATP6V0D1	-0.0355
GNAQ	-0.0358
G3BP2	-0.0358
AHSA2	-0.0358
HMGXB4	-0.0365
CDK4	-0.0366
TM9SF2	-0.0366
ARHGEF6	-0.0368
TBC1D10B	-0.0370
TMEM135	-0.0371
YBX3	-0.0371
SLC38A9	-0.0372
WARS2	-0.0374
EIF1AD	-0.0376
TMEM127	-0.0376
PHF13	-0.0382
PRKCA	-0.0384
PIGT	-0.0384
OCIAD1	-0.0385
YWHAG	-0.0385
FBXO9	-0.0385
NUP93	-0.0386
EIF1	-0.0388
VAMP2	-0.0390
TOX4	-0.0390
AP3M1	-0.0395
HSD17B4	-0.0397
ZFP644	-0.0398
GNAI1	-0.0401
RELA	-0.0404
SDR42E1	-0.0405
CNKSR3	-0.0406
EXT2	-0.0407
ZFP706	-0.0409
FGFR1	-0.0410
TNFAIP1	-0.0410
ADAM15	-0.0412
TPP2	-0.0415
SSBP1	-0.0415
SOCS4	-0.0417
PAIP2	-0.0418
ZFP148	-0.0418
SLC30A5	-0.0419
MCM7	-0.0419
STIP1	-0.0420
AURKAIP1	-0.0421
CCT6A	-0.0422
ZZZ3	-0.0424
SKP2	-0.0432
EFNB1	-0.0434
EXOSC8	-0.0435
CBLB	-0.0435
RFFL	-0.0437
PLEKHG2	-0.0437
DDX19A	-0.0442
SCAMP1	-0.0442
COX6A1	-0.0445
PSMD5	-0.0446
UBE2H	-0.0447
ZFP266	-0.0450
EMP1	-0.0451
SESN3	-0.0451
TRIM35	-0.0452
RPS25	-0.0452
UBN2	-0.0455
TGFBR1	-0.0457
KIDINS220	-0.0457
ESYT1	-0.0457
MEN1	-0.0459
MAP1LC3B	-0.0460
DRAM2	-0.0461
ABHD13	-0.0463
RSL24D1	-0.0463
LAMP1	-0.0463
ZFP518A	-0.0465
ACSL4	-0.0466
UGCG	-0.0467
MAGT1	-0.0470
RDX	-0.0471
RASA2	-0.0473
GBA2	-0.0474
MKI67	-0.0478
MAML1	-0.0480
CYC1	-0.0483
GAR1	-0.0484
MAPK8	-0.0486
ZBTB7A	-0.0490
ZFP26	-0.0490
ACAT1	-0.0491
LYAR	-0.0494
COTL1	-0.0495
AK2	-0.0495
HDAC2	-0.0496
PYCR1	-0.0498
SLC30A6	-0.0498
ING4	-0.0500
HEXIM1	-0.0505
PHF23	-0.0506
CYP20A1	-0.0507
TNPO1	-0.0508
RB1	-0.0513
MBTPS2	-0.0517
ZCCHC9	-0.0518
SNX6	-0.0519
PMPCB	-0.0520
RNF139	-0.0521
RRAGC	-0.0522
LUZP1	-0.0522
ABCE1	-0.0522
PLOD1	-0.0524
KRIT1	-0.0526
CD81	-0.0528
NUBP2	-0.0529
RABL3	-0.0530
PKDCC	-0.0531
INO80C	-0.0532
PPA1	-0.0532
TMEM209	-0.0534
PTTG1IP	-0.0540
ANXA5	-0.0541
STT3B	-0.0542
MFAP3L	-0.0542
RHBDL2	-0.0543
CUL4B	-0.0543
ATXN10	-0.0545
CMPK1	-0.0547
ARHGAP24	-0.0549
UBE2L3	-0.0550
SLC35A3	-0.0550
UQCRC1	-0.0551
TBCK	-0.0552
CCDC25	-0.0554
CDC42EP1	-0.0558
SNX7	-0.0558
PRDX4	-0.0559
MAP3K11	-0.0561
TK1	-0.0562
DDX50	-0.0563
FITM2	-0.0563
NIFK	-0.0564
SGPL1	-0.0564
PPP1CA	-0.0564
SERF2	-0.0565
BLMH	-0.0566
EXTL3	-0.0567
TSPAN9	-0.0572
EIF3M	-0.0574
TBX15	-0.0574
ASRGL1	-0.0575
PROSER3	-0.0582
MAN2B2	-0.0582
NRM	-0.0583
APMAP	-0.0584
BROX	-0.0587
CFAP97	-0.0588
SLC31A1	-0.0589
TRAFD1	-0.0589
LLGL1	-0.0593
MID2	-0.0595
CBFA2T2	-0.0596
PIGS	-0.0596
REV3L	-0.0599
PPP3CB	-0.0599
PIGQ	-0.0606
GABARAPL1	-0.0607
JOSD1	-0.0608
DDX5	-0.0608
ERG	-0.0611
KLF12	-0.0612
GHITM	-0.0614
ERRFI1	-0.0615
SHROOM2	-0.0616
SLC35E3	-0.0618
VDAC2	-0.0619
ZDHHC17	-0.0622
INTS4	-0.0622
TRAPPC11	-0.0623
SLC7A6	-0.0625
DLD	-0.0627
FKBP1A	-0.0628
MIER3	-0.0628
UBA3	-0.0630
PTPRA	-0.0632
SDCBP	-0.0632
TSG101	-0.0633
STAM2	-0.0635
ESCO1	-0.0635
DLG4	-0.0641
GABARAP	-0.0644
CDC6	-0.0645
PDZD8	-0.0646
G3BP1	-0.0647
NUSAP1	-0.0649
DUSP16	-0.0651
TRIM3	-0.0654
EIF2S3Y	-0.0654
SIX4	-0.0655
MAP2K1	-0.0656
TMED7	-0.0656
WASF2	-0.0658
RBL1	-0.0659
SNAPC2	-0.0660
DDX6	-0.0663
KXD1	-0.0665
IRGQ	-0.0668
KBTBD2	-0.0669
ISCA2	-0.0672
RHOA	-0.0672
URI1	-0.0674
ATP1B3	-0.0675
MAPRE2	-0.0675
PPP1R15B	-0.0676
MYLIP	-0.0677
COMMD8	-0.0677
CTNND1	-0.0677
IVNS1ABP	-0.0677
NDUFS4	-0.0678
HSD17B12	-0.0680
GRK5	-0.0682
PTPN9	-0.0682
SDHAF2	-0.0683
EVC	-0.0683
MSN	-0.0683
ABHD4	-0.0684
ZBTB14	-0.0684
FBXL5	-0.0685
CPSF2	-0.0687
ZFP281	-0.0688
FTX	-0.0688
RUFY1	-0.0690
COA5	-0.0693
USP36	-0.0693
OXA1L	-0.0695
REPS1	-0.0697
SECISBP2L	-0.0698
SUCLA2	-0.0699
CENPF	-0.0703
RPS13	-0.0705
FCF1	-0.0707
INTS5	-0.0707
PNRC1	-0.0708
TRIM32	-0.0708
RABL2	-0.0712
ATM	-0.0714
UFL1	-0.0715
GMPR	-0.0716
GLA	-0.0718
CIAO1	-0.0722
BNC2	-0.0723
TNRC6B	-0.0723
RNF166	-0.0723
CHAMP1	-0.0725
EIF2A	-0.0727
MAZ	-0.0730
ASB8	-0.0730
PCYOX1	-0.0735
CERCAM	-0.0737
ENY2	-0.0738
ALG8	-0.0741
EFR3A	-0.0741
CCT4	-0.0743
TMEM184C	-0.0744
ST3GAL6	-0.0744
PA2G4	-0.0754
ALDH7A1	-0.0754
CALM1	-0.0756
SMOX	-0.0760
ZFP868	-0.0760
SSR1	-0.0762
IRF3	-0.0776
FAT1	-0.0780
EIF4E3	-0.0784
SCYL2	-0.0784
FEM1B	-0.0784
ABI1	-0.0785
TXN1	-0.0787
UBAC1	-0.0787
HBP1	-0.0789
DIXDC1	-0.0794
PDHB	-0.0807
BMPR2	-0.0808
CFL2	-0.0813
DNAJB1	-0.0813
ZDHHC20	-0.0816
ZDHHC18	-0.0817
PSMB4	-0.0819
OPHN1	-0.0819
ALG13	-0.0820
SRC	-0.0821
DNMT1	-0.0821
ST6GALNAC6	-0.0822
BUB1	-0.0824
DYNLRB1	-0.0826
ETFDH	-0.0828
DNAJC19	-0.0834
CTBS	-0.0834
SPOP	-0.0840
JKAMP	-0.0841
TMED10	-0.0843
KIF18B	-0.0845
RAB34	-0.0845
GIT2	-0.0847
RNF144B	-0.0856
PLD1	-0.0856
CXXC5	-0.0860
CTNNA1	-0.0863
RGS19	-0.0865
PFDN5	-0.0875
PLCL2	-0.0878
TRIM28	-0.0878
DDX18	-0.0882
SMAD3	-0.0883
FUNDC2	-0.0887
SSR3	-0.0888
COPS2	-0.0891
CHTOP	-0.0893
ZBTB38	-0.0894
ORAI3	-0.0899
ROCK2	-0.0904
CD9	-0.0906
GPR108	-0.0911
ARMC8	-0.0912
SIRT2	-0.0913
TMEM230	-0.0917
PRKAR2B	-0.0917
SFR1	-0.0918
ADAMTS9	-0.0921
GLUD1	-0.0922
NDUFS1	-0.0925
PRICKLE1	-0.0926
MAPRE1	-0.0927
IL16	-0.0929
SSR4	-0.0930
DAB2	-0.0930
ISG20	-0.0930
RABAC1	-0.0933
PBX2	-0.0933
PTDSS1	-0.0933
ELK3	-0.0934
UBAP1	-0.0938
STK4	-0.0939
PPP2R5C	-0.0941
DHX30	-0.0942
PCDHGB8	-0.0944
FARSB	-0.0945
TRAP1	-0.0945
RSU1	-0.0948
EBAG9	-0.0951
E2F7	-0.0953
ADAMTS12	-0.0955
AIDA	-0.0956
RARA	-0.0956
PSMA2	-0.0957
MRPS7	-0.0957
PHF14	-0.0958
AKR1A1	-0.0963
ARIH1	-0.0963
CHST12	-0.0963
ANAPC13	-0.0964
ZC3H12C	-0.0965
RPS15A	-0.0965
LDAH	-0.0966
FER	-0.0966
CLDND1	-0.0967
CAPZA2	-0.0969
PLK2	-0.0969
RPL18	-0.0972
RPL7	-0.0975
PABPC1	-0.0975
NLGN2	-0.0975
FN1	-0.0975
SP1	-0.0976
GDI2	-0.0976
PLEKHM1	-0.0977
QSER1	-0.0985
GRAMD1B	-0.0986
SLC48A1	-0.0988
XPO7	-0.0989
DENND6A	-0.0995
DDOST	-0.0995
NME2	-0.0997
RBM18	-0.0999
NOD1	-0.1007
IDH3G	-0.1008
TXNDC17	-0.1016
HDAC1	-0.1017
SLC6A6	-0.1023
PRR13	-0.1026
IKBIP	-0.1026
USP10	-0.1026
NDRG3	-0.1028
TMEM184B	-0.1029
VPS54	-0.1029
UBC	-0.1030
DLAT	-0.1030
PUM2	-0.1032
TRNT1	-0.1038
HNRNPH2	-0.1043
DPY19L4	-0.1044
SPECC1	-0.1047
SLBP	-0.1047
ACTR3	-0.1056
STAG2	-0.1058
ASAH1	-0.1058
MRC2	-0.1061
BCL2L11	-0.1062
G6PC3	-0.1062
UBXN8	-0.1064
ZBTB4	-0.1066
PBDC1	-0.1066
ANO1	-0.1068
ABR	-0.1069
RFX5	-0.1069
RBM8A	-0.1072
ELMO2	-0.1073
GADD45G	-0.1076
DHX9	-0.1076
ARHGAP31	-0.1080
PRELP	-0.1080
EZH2	-0.1082
HEYL	-0.1084
LARP7	-0.1087
CDADC1	-0.1087
GNE	-0.1088
SMARCA5	-0.1088
SRP19	-0.1090
LTBR	-0.1091
POLK	-0.1091
HSBP1	-0.1092
ERP29	-0.1092
ROCK1	-0.1092
ETS2	-0.1095
KLF9	-0.1096
VCPIP1	-0.1101
GTF2B	-0.1102
CLNS1A	-0.1106
UBR7	-0.1106
BIRC2	-0.1107
FYCO1	-0.1108
RBM22	-0.1108
DDX21	-0.1112
DNAJA1	-0.1113
DDX3X	-0.1113
SNX3	-0.1114
TBC1D31	-0.1116
UTP15	-0.1120
BCAS3	-0.1123
MYCBP	-0.1123
GFM1	-0.1123
CRISPLD1	-0.1131
UBE2G1	-0.1136
EML1	-0.1138
TMEM41B	-0.1141
GOLPH3	-0.1144
HSPH1	-0.1147
LITAF	-0.1150
PTCD3	-0.1151
GLI3	-0.1154
