symbol	human_pure_cpm	human_purity_ratio	mt_baseMean	mt_lfc	ru_lfc	interaction_n3	interaction_n2	cartilage_enriched
Tmem141	41.05	5.372	111.1	-2.292	-1.481	-0.811	-0.831	1
Arsi	135.25	6.843	1898.0	-3.41	-2.599	-0.811	-1.095	1
Ndrg2	57.82	3.422	1051.8	-1.336	-0.521	-0.815	-0.816	1
Casp4	31.76	1.093	73.7	2.459	3.28	-0.821	-0.34	0
Cry2	37.02	0.757	435.1	-0.966	-0.141	-0.826	-1.173	0
Colgalt2	125.06	0.869	3809.3	-1.461	-0.634	-0.827	-1.108	0
Med14	32.76	0.521	1863.3	0.757	1.589	-0.832	-0.999	0
Gstm3	40.46	5.767	310.7	8.814	9.652	-0.839	-0.191	1
Adamts6	61.09	0.649	189.5	-1.133	-0.285	-0.847	-1.637	0
Rps6ka5	42.54	0.248	405.7	0.716	1.563	-0.848	-1.084	0
Scin	293.42	2.552	12112.5	1.286	2.138	-0.852	-0.706	1
Ecm2	24.05	1.114	1815.0	-1.334	-0.479	-0.855	-1.273	0
Dnph1	22.61	3.382	91.5	-0.84	0.023	-0.862	-0.5	1
Micall2	21.8	0.884	255.5	-1.683	-0.82	-0.863	-0.669	0
Col11a1	14499.36	2.734	538464.4	-0.462	0.402	-0.864	-1.142	1
Tle4	53.55	0.213	344.6	-0.764	0.11	-0.873	-0.927	0
Zbtb20	287.35	0.152	128.0	-2.639	-1.765	-0.873	-0.476	0
Lpl	200.64	9.654	531.7	-1.428	-0.534	-0.894	-0.631	1
Snorc	7032.0	3.653	27637.0	-2.716	-1.816	-0.9	-0.794	1
Tmed2	108.64	2.783	2195.9	9.597	10.497	-0.901	-0.314	1
Aopep	100.49	0.303	1004.7	0.501	1.408	-0.907	-1.138	0
Rpl36a	917.22	4.744	1137.1	7.242	8.163	-0.921	-0.147	1
Upp1	23.48	0.425	204.3	-2.667	-1.742	-0.925	-0.557	0
Epyc	169.56	3.936	27176.0	-1.176	-0.244	-0.932	-0.961	1
Pygl	93.14	1.17	4224.5	-2.814	-1.881	-0.933	-1.068	0
Pcmtd1	67.52	0.563	351.8	-0.718	0.228	-0.945	-0.825	0
Slc5a3	137.91	0.9	228.7	-1.05	-0.102	-0.948	-1.671	0
Col9a2	4716.79	6.401	300061.8	-1.405	-0.448	-0.956	-0.905	1
Capn6	108.76	6.825	28538.5	-0.402	0.556	-0.958	-1.092	1
Chad	306.05	6.901	5476.4	-2.046	-1.084	-0.962	-1.217	1
Foxa2	51.53	6.529	69.8	-1.312	-0.343	-0.969	-2.188	1
Mcoln2	58.71	0.352	631.2	-1.693	-0.722	-0.971	-0.668	0
Nebl	64.07	0.303	52.9	-1.728	-0.756	-0.972	-0.132	0
Sema3d	52.87	1.011	3320.4	-0.872	0.113	-0.985	-0.986	0
Srp9	124.47	4.097	557.7	7.253	8.239	-0.986	-0.642	1
Spats2l	110.53	0.881	2299.3	-0.316	0.682	-0.998	-0.979	0
Cab39l	23.99	0.497	1061.5	-1.038	-0.037	-1.001	-1.07	0
Magohb	31.9	2.76	75.7	-3.405	-2.402	-1.003	-1.004	1
Prelp	867.25	2.663	15838.4	-1.707	-0.693	-1.014	-0.646	1
Mia	665.96	7.747	503.2	-1.736	-0.721	-1.015	-0.944	1
Ccn1	1263.95	11.514	7759.5	-0.832	0.184	-1.016	-0.558	1
Vav3	49.45	0.134	310.0	-0.508	0.53	-1.038	-1.216	0
Fam180a	97.19	1.103	1633.0	-2.191	-1.153	-1.038	-1.421	0
Fbxo7	50.41	0.916	1011.7	-0.936	0.106	-1.042	-1.127	0
Gale	69.21	4.833	4649.6	-1.74	-0.696	-1.044	-0.948	1
Srpx	37.11	1.389	8848.2	-1.082	-0.013	-1.068	-1.632	0
Ogfrl1	21.15	0.385	177.6	-1.251	-0.173	-1.078	-0.561	0
Nrk	98.75	1.234	13110.1	0.591	1.682	-1.091	-1.193	0
Col15a1	69.88	0.73	16191.8	-0.683	0.409	-1.092	-0.963	0
Il16	38.8	0.405	1022.8	-0.747	0.348	-1.095	-1.443	0
Atp10a	23.83	0.09	1664.1	-1.836	-0.729	-1.107	-1.169	0
Patj	22.76	0.163	691.6	-3.213	-2.103	-1.11	-1.09	0
Gpc6	133.61	0.141	2449.7	-1.128	-0.005	-1.123	-1.46	0
Thbs1	580.27	2.471	83696.0	-1.108	0.017	-1.125	-1.225	1
Comp	6902.92	6.561	149725.0	-1.66	-0.523	-1.137	-1.001	1
Ranbp3l	26.05	0.765	162.9	2.416	3.555	-1.139	-0.75	0
Chadl	174.11	5.261	5707.5	-2.518	-1.378	-1.14	-1.194	1
Crim1	181.7	0.663	2831.5	-1.702	-0.557	-1.145	-1.267	0
Col4a5	24.47	1.013	1553.2	-3.405	-2.254	-1.151	-1.172	0
Kcnk5	26.51	1.328	323.0	-1.567	-0.386	-1.181	-1.202	0
Pcsk6	31.42	1.821	4709.2	-1.554	-0.348	-1.206	-2.11	0
Pbx1	31.63	0.442	129.2	-0.839	0.404	-1.242	-1.742	0
