TOTAL refs 1539 | with pmid 1427 | abstracts retrieved 1420
refs whose ABSTRACT reports a longitudinal LENGTH endpoint: 596
  ... of which the graph has NEVER recorded a quantitative finding: 231

ref_id	pmid	year	quant	score	human	title
wang2014a	24762197	2014	NO	6		Periosteal PTHrP regulates cortical bone modeling during linear growth in mice
wu2013	23940039	2013	NO	6	Y	Increased expression of fibroblast growth factor 21 (FGF21) during chronic undernutrition causes growth hormone
wu2017	28479301	2017	NO	6	Y	Bone Size and Quality Regulation: Concerted Actions of mTOR in Mesenchymal Stromal Cells and Osteoclasts
yasoda1998	9565590	1998	NO	6		Natriuretic peptide regulation of endochondral ossification. Evidence for possible roles of the C-type natriuretic
yasoda2004	14702637	2004	NO	6	Y	Overexpression of CNP in chondrocytes rescues achondroplasia through a MAPK-dependent pathway
zapf2002	12130560	2002	NO	6		The somatostatin analog octreotide inhibits GH-stimulated, but not IGF-I-stimulated, bone growth in hypophysectomized
zhou2015	25432534	2015	NO	6		Mutant activated FGFR3 impairs endochondral bone growth by preventing SOX9 downregulation in differentiating chondrocyte
zhu2010	20512147	2010	NO	6	Y	Lin28a transgenic mice manifest size and puberty phenotypes identified in human genetic association studies
bush2008	17786946	2008	NO	5		The osmotic sensitivity of rat growth plate chondrocytes in situ; clarifying the mechanisms of hypertrophy
caino2025	40905592	2025	NO	5	Y	Development of disease-specific growth charts for Argentine Prader-Willi syndrome without growth hormone treatment
chen2023	37029304	2023	NO	5		Developmental growth plate cartilage formation suppressed by artificial light at night via inhibiting BMAL1-driven
dazgonzlez2022	33106379	2022	NO	5		Biallelic cGMP-dependent type II protein kinase gene (<i>PRKG2</i>) variants cause a novel acromesomelic dysplasia
emons2011	21540578	2011	NO	5		Mechanisms of growth plate maturation and epiphyseal fusion
frost2001	11393568	2001	NO	5	Y	On longitudinal bone growth, short stature, and related matters: insights about cartilage physiology from the
hymes2011	21884345	2011	NO	5	Y	Linear growth in pediatric renal transplant recipients receiving sirolimus
kawai2013	23235154	2013	NO	5		FGF23 suppresses chondrocyte proliferation in the presence of soluble α-Klotho both in vitro and in vivo
keller2004	15513690	2004	NO	5	Y	Short-term growth of premature infants treated with dexamethasone assessed by mini-knemometry
koller2025	40227492	2025	NO	5	Y	Femoral bone growth predictions based on personalized multi-scale simulations: validation and sensitivity analysis
loqman2010	20473830	2010	NO	5		A cell shrinkage artefact in growth plate chondrocytes with common fixative solutions: importance of fixative
lui2011a	21441345	2011	NO	5		Mechanisms limiting body growth in mammals
lui2012	22914739	2012	NO	5	Y	Synthesizing genome-wide association studies and expression microarray reveals novel genes that act in the human
miura2014	24259409	2014	NO	5		Overgrowth syndrome associated with a gain-of-function mutation of the natriuretic peptide receptor 2 (NPR2) gene
monahan2026	41031626	2026	NO	5		A novel brachydactyly type E syndrome caused by variants in helix 8 of the PTH1R
nilsson1999	9920110	1999	NO	5	Y	Demonstration of estrogen receptor-beta immunoreactivity in human growth plate cartilage
