gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
HOGA1,1.12,2.69,1.26,0.00,5.66,2.58,2.19,2.38,0.85,2.63,3.23,0.22,0.71,2.36,0.00
MORN4,4.83,3.01,5.17,6.82,5.16,3.28,6.24,4.02,1.55,9.74,8.06,2.23,1.47,5.82,7.84
PI4K2A,10.41,9.25,6.55,6.82,18.14,13.48,14.19,12.92,8.64,19.65,25.81,10.04,6.49,12.34,23.53
AVPI1,2.97,3.63,5.06,0.00,6.16,4.22,10.54,4.18,3.41,13.38,6.45,4.24,3.18,8.08,9.80
MARVELD1,10.41,12.71,55.17,56.82,21.13,17.58,74.51,9.74,6.80,71.80,46.77,6.92,6.95,59.06,54.90
ZFYVE27,18.22,13.28,18.16,15.91,27.12,17.35,23.30,17.05,11.84,25.51,11.29,12.72,11.35,18.33,13.73
SFRP5,14.50,8.27,83.33,52.27,0.33,1.41,6.52,0.53,0.82,6.15,4.84,0.22,0.38,10.30,3.92
GOLGA7B,0.37,0.57,4.48,0.00,1.33,0.94,0.64,0.85,0.63,0.54,4.84,0.22,0.71,0.87,1.96
CRTAC1,13.38,3.71,19.08,9.09,16.14,3.75,4.14,9.90,3.17,2.27,11.29,7.14,1.88,4.03,0.00
R3HCC1L,22.68,22.48,3.68,9.09,31.45,30.72,8.71,27.32,32.18,9.98,27.42,18.30,25.00,7.86,9.80
LOXL4,1.49,0.90,3.79,0.00,2.16,2.58,9.34,1.59,1.79,14.93,11.29,5.36,1.97,19.92,25.49
PYROXD2,5.20,6.52,4.25,0.00,6.66,5.28,5.13,5.56,5.98,5.68,8.06,4.69,3.89,6.39,15.69
HPS1,8.92,12.42,8.85,11.36,15.47,17.23,17.26,10.06,17.02,24.43,17.74,6.47,11.52,15.34,21.57
AL139243.1,0.37,0.20,0.11,2.27,0.33,0.47,0.20,0.37,0.44,0.06,0.00,0.00,0.04,0.20,0.00
HPSE2,7.06,5.13,4.37,0.00,19.13,15.24,9.15,13.61,2.52,9.74,14.52,4.46,2.30,6.99,5.88
CNNM1,0.37,0.53,1.38,2.27,0.67,0.59,3.22,1.11,0.56,4.00,1.61,0.45,0.46,1.99,0.00
GOT1,10.78,6.88,6.55,4.55,20.47,8.21,17.26,14.03,10.02,20.49,12.90,7.81,6.66,13.73,15.69
AL391684.1,3.72,2.65,2.07,0.00,4.49,2.58,0.87,3.07,2.35,1.08,0.00,1.79,1.21,1.02,1.96
SLC25A28,9.67,12.95,10.00,9.09,17.30,14.89,14.47,12.28,15.96,15.23,22.58,8.93,12.23,10.52,19.61
AL353719.1,0.00,0.29,0.57,2.27,0.33,0.12,0.28,0.64,0.31,0.60,1.61,0.22,0.29,0.62,0.00
AL133353.1,0.74,0.57,0.92,2.27,3.16,1.29,4.10,2.12,0.53,4.24,4.84,0.67,0.21,2.56,1.96
ENTPD7,14.87,5.66,10.80,9.09,36.94,11.02,31.37,21.60,7.00,38.59,35.48,16.52,4.98,24.99,21.57
CUTC,8.92,12.06,6.78,4.55,23.46,17.00,9.42,16.68,12.42,12.60,16.13,16.07,11.68,8.48,15.69
COX15,18.96,10.43,10.57,11.36,16.64,13.72,12.33,11.12,11.23,15.59,25.81,7.59,8.33,11.94,21.57
ABCC2,4.46,2.20,0.23,0.00,2.50,3.17,0.76,2.49,2.78,0.96,1.61,2.23,2.01,0.62,0.00
DNMBP,30.86,12.71,4.02,6.82,41.43,13.72,14.59,39.49,22.49,21.92,27.42,23.44,6.83,12.34,9.80
