gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
AL591895.1,13.38,13.08,6.09,2.27,8.99,10.67,4.45,8.79,11.23,5.26,14.52,9.60,12.06,4.87,17.65
TMEM63A,23.05,22.48,13.45,11.36,22.46,18.87,11.93,19.75,18.79,14.16,22.58,18.30,19.47,10.79,27.45
LEFTY1,0.74,0.77,0.00,0.00,0.67,0.35,0.04,1.06,0.73,0.06,0.00,0.00,0.38,0.17,0.00
PYCR2,4.46,12.02,22.64,20.45,10.15,18.99,47.91,4.76,13.37,59.26,38.71,4.91,10.89,36.04,29.41
SDE2,8.55,7.41,9.89,4.55,11.81,13.83,18.41,9.21,9.78,22.88,27.42,6.47,8.67,13.23,29.41
AL512343.2,6.69,2.12,0.57,0.00,3.16,2.93,0.28,4.34,3.32,0.78,3.23,1.56,1.72,0.35,0.00
H3F3A,49.07,69.33,84.83,77.27,58.90,80.54,95.23,48.76,74.67,98.15,85.48,43.75,72.86,85.58,88.24
LINC01703,1.49,1.18,2.07,2.27,2.83,1.64,2.15,1.91,1.14,1.85,1.61,2.46,0.67,2.01,0.00
ACBD3,35.69,25.25,45.63,34.09,58.57,32.71,73.40,37.90,28.21,83.21,69.35,31.25,19.93,60.33,56.86
ACBD3-AS1,0.37,1.10,0.00,0.00,1.33,1.52,0.00,0.79,0.99,0.06,0.00,0.22,0.92,0.00,0.00
MIXL1,0.37,0.69,0.11,0.00,0.17,0.47,0.40,0.69,2.20,0.36,0.00,0.22,0.25,0.10,0.00
LIN9,5.20,4.24,1.95,0.00,10.98,8.79,4.45,5.19,6.56,1.85,1.61,3.79,3.43,1.87,5.88
PARP1,20.45,18.33,34.71,18.18,24.46,27.43,57.73,19.32,25.88,75.69,50.00,14.29,17.34,47.53,47.06
STUM,12.27,3.83,0.23,4.55,0.83,0.59,0.08,2.75,1.26,0.24,1.61,1.34,0.59,0.22,0.00
ITPKB,19.70,30.22,4.02,2.27,26.29,40.33,4.53,26.68,30.53,6.09,29.03,33.48,46.27,4.82,13.73
ITPKB-IT1,0.37,0.57,0.00,0.00,0.17,0.82,0.00,0.48,0.48,0.18,1.61,0.89,0.67,0.02,0.00
ITPKB-AS1,0.74,3.87,0.00,0.00,1.00,7.85,0.04,0.79,3.75,0.06,0.00,0.89,5.90,0.10,0.00
AL359732.1,0.00,0.00,0.11,0.00,0.00,0.12,0.04,0.11,0.05,0.36,3.23,0.00,0.00,0.25,0.00
PSEN2,1.12,2.20,1.84,0.00,1.50,1.17,2.47,2.59,3.03,5.08,6.45,2.23,1.68,2.86,1.96
COQ8A,13.38,11.45,8.39,4.55,10.48,13.13,8.39,12.49,15.84,10.63,8.06,10.94,10.09,7.76,7.84
CDC42BPA,71.00,34.87,51.15,40.91,75.04,35.99,70.62,57.01,18.57,75.69,75.81,43.75,19.22,61.00,60.78
AL353689.2,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,1.61,0.00,0.00,0.00,0.00
AL353689.3,0.37,1.22,0.11,0.00,2.50,1.99,0.04,0.64,0.39,0.36,1.61,0.22,0.38,0.07,0.00
AL451047.1,0.00,0.53,0.00,0.00,0.83,1.52,0.04,0.16,0.24,0.00,0.00,0.00,0.13,0.05,0.00
AL627308.3,0.00,0.24,0.11,0.00,0.17,0.23,0.08,0.05,0.10,0.00,3.23,0.22,0.13,0.02,0.00
LINC01641,0.00,0.04,0.00,2.27,0.33,0.00,0.00,0.00,0.10,0.00,1.61,0.00,0.21,0.10,0.00
ZNF678,17.47,15.85,7.59,6.82,22.46,19.46,10.38,19.69,19.49,11.71,22.58,14.06,14.28,7.78,17.65
SNAP47,7.06,6.68,10.46,4.55,11.98,9.50,14.23,9.00,9.27,22.94,19.35,3.57,6.62,14.08,19.61
JMJD4,2.97,4.11,8.51,9.09,4.66,5.04,18.37,3.76,3.97,30.29,24.19,2.01,2.97,17.88,7.84
AL731702.1,0.37,0.16,1.84,2.27,0.00,0.00,0.60,0.37,0.19,0.60,0.00,0.22,0.29,0.30,0.00
WNT9A,5.95,0.53,0.80,2.27,4.16,0.82,0.08,3.97,0.58,0.18,1.61,5.13,0.54,0.22,0.00
LINC02809,1.12,0.20,0.23,0.00,0.50,0.23,0.12,0.21,0.10,0.18,0.00,0.45,0.21,0.07,1.96
ARF1,37.92,39.63,63.68,54.55,50.92,50.64,84.49,42.03,47.60,90.26,77.42,33.04,38.82,72.74,74.51
C1orf35,4.09,8.35,10.92,11.36,7.82,12.08,18.37,4.71,8.16,19.77,33.87,4.91,7.29,12.76,21.57
MRPL55,2.97,8.72,20.92,11.36,7.49,11.96,48.43,5.29,12.66,62.01,48.39,3.57,6.99,38.50,23.53
GUK1,17.84,35.97,58.39,43.18,31.45,50.88,90.30,23.66,40.17,94.74,72.58,14.51,39.15,76.85,74.51
GJC2,1.49,1.06,0.23,0.00,2.50,1.88,0.83,4.34,2.01,1.31,1.61,2.46,1.38,0.65,0.00
IBA57,5.20,4.81,6.09,9.09,8.65,5.39,9.11,8.52,6.25,8.60,12.90,4.46,3.39,7.86,7.84
OBSCN-AS1,0.37,1.83,3.33,4.55,1.33,1.88,0.56,0.53,0.77,0.72,1.61,0.67,0.71,0.70,0.00
OBSCN,22.30,16.70,22.87,18.18,20.97,16.88,11.45,11.65,8.28,9.98,9.68,8.04,10.85,10.67,7.84
AL353593.1,0.74,1.87,1.49,9.09,2.16,1.52,1.79,2.01,1.40,2.09,4.84,1.12,1.59,1.79,1.96
AL353593.2,0.37,0.41,0.00,0.00,0.17,1.29,0.00,0.05,0.10,0.00,0.00,0.00,0.29,0.00,0.00
AL670729.3,0.37,0.29,0.46,0.00,0.00,0.00,0.12,0.26,0.05,0.00,0.00,0.22,0.38,0.05,5.88
AL670729.2,1.12,0.12,0.00,0.00,0.67,0.12,0.04,0.26,0.10,0.00,0.00,0.00,0.17,0.02,0.00
TRIM11,4.09,5.25,3.22,4.55,8.65,9.73,7.79,6.30,6.27,11.17,6.45,6.92,8.00,7.54,17.65
AL139288.1,1.49,0.37,0.00,0.00,1.16,0.23,0.00,0.48,0.24,0.06,0.00,0.89,0.46,0.02,1.96
TRIM17,0.00,0.90,0.23,0.00,0.17,0.94,0.00,0.26,0.70,0.06,0.00,2.90,1.51,0.42,5.88
HIST3H2A,0.37,1.87,0.00,0.00,0.50,3.05,0.00,0.53,1.99,0.06,0.00,0.45,3.31,0.27,7.84
HIST3H2BB,0.37,0.53,0.00,2.27,0.17,0.70,0.00,0.37,0.36,0.06,0.00,0.89,0.71,0.02,0.00
RNF187,8.55,13.48,29.89,29.55,11.65,20.63,46.04,7.46,13.12,54.36,56.45,6.47,13.78,38.22,39.22
RHOU,7.43,6.56,4.60,11.36,6.49,3.05,3.26,7.04,5.86,4.06,16.13,3.12,2.55,3.26,7.84
AL162595.1,2.97,0.57,1.95,0.00,2.50,1.06,2.27,1.54,0.94,1.37,1.61,1.34,0.21,1.24,3.92
RAB4A,14.87,15.03,14.60,18.18,19.97,18.29,27.20,13.18,16.15,36.02,41.94,10.04,12.69,22.38,35.29
AL117350.1,0.74,0.90,0.11,0.00,0.33,0.70,0.36,0.79,0.90,0.24,1.61,0.45,1.09,0.17,0.00
CCSAP,7.06,9.65,3.45,4.55,8.49,11.61,3.94,8.21,13.32,3.52,4.84,6.25,7.66,2.79,9.80
ACTA1,0.37,0.29,0.23,0.00,0.33,0.35,0.76,0.16,0.68,1.49,0.00,0.00,0.25,0.77,1.96
NUP133,20.45,18.49,9.54,11.36,24.96,19.23,16.54,21.02,18.28,20.67,19.35,14.73,15.28,12.73,21.57
ABCB10,13.75,10.84,4.02,4.55,20.63,13.13,11.85,14.77,11.84,11.35,16.13,9.60,10.80,6.86,13.73
TAF5L,17.47,7.98,5.52,4.55,18.47,10.20,9.22,13.82,8.04,10.63,22.58,8.71,7.04,7.98,7.84
URB2,4.09,2.32,2.99,0.00,16.64,2.93,5.88,8.52,3.54,7.23,11.29,5.58,3.35,4.08,3.92
GALNT2,47.96,35.97,51.61,34.09,57.24,35.87,50.30,50.08,49.10,59.26,53.23,36.38,22.53,41.08,33.33
AL136988.2,1.12,1.06,0.11,0.00,0.83,1.52,0.00,0.64,1.57,0.00,0.00,0.22,0.63,0.00,0.00
PGBD5,1.86,0.73,0.34,0.00,1.00,0.35,0.04,0.90,0.99,0.12,0.00,2.68,0.38,0.17,9.80
COG2,11.52,11.00,10.46,11.36,20.13,16.06,21.11,12.86,11.33,26.40,32.26,7.59,11.26,16.81,29.41
AL158214.2,0.74,0.90,0.23,0.00,0.17,1.29,0.48,0.26,0.75,0.42,1.61,0.00,0.80,0.27,3.92
AGT,2.60,1.87,1.03,2.27,0.83,0.23,1.27,1.16,1.07,1.55,3.23,0.67,0.29,1.62,0.00
C1orf198,12.27,3.34,19.66,13.64,16.97,5.39,24.65,12.81,2.95,46.06,40.32,13.84,3.64,27.46,41.18
AL118511.1,3.72,1.30,1.72,0.00,7.32,1.64,3.38,4.87,1.21,4.84,1.61,2.90,0.96,3.23,0.00
TTC13,9.67,20.61,4.94,4.55,16.64,24.15,10.62,13.66,23.61,14.10,16.13,14.06,26.72,8.75,15.69
ARV1,2.60,4.89,7.70,2.27,8.32,7.03,16.06,5.61,5.64,25.99,22.58,3.35,5.15,15.12,13.73
FAM89A,8.92,5.09,9.43,6.82,13.31,5.04,20.24,8.10,3.78,25.45,30.65,6.25,3.06,17.43,5.88
C1orf131,5.95,9.08,5.40,11.36,11.65,12.78,18.21,7.57,8.84,23.89,25.81,3.57,7.87,13.75,33.33
GNPAT,14.87,15.64,12.30,13.64,19.30,21.34,23.46,15.99,17.34,27.96,27.42,12.72,14.28,18.58,21.57
EXOC8,3.72,3.79,4.60,6.82,5.49,5.16,9.18,4.29,4.24,12.13,9.68,4.02,4.40,7.36,9.80
SPRTN,7.81,5.01,5.29,9.09,11.48,7.74,9.46,7.36,6.71,12.43,25.81,5.13,5.99,6.76,13.73
EGLN1,18.59,18.41,19.31,25.00,29.28,26.38,33.92,23.13,23.05,42.11,38.71,15.62,18.09,25.81,45.10
AL445524.1,1.12,0.61,0.69,0.00,0.67,1.17,3.42,1.01,1.40,5.85,8.06,0.45,0.38,3.18,3.92
TSNAX,15.99,19.23,20.34,18.18,25.29,26.49,30.10,18.63,21.65,39.73,46.77,14.29,19.72,26.01,41.18
LINC00582,0.00,1.51,0.00,0.00,0.50,2.93,0.00,0.85,5.28,0.00,0.00,0.00,0.84,0.00,0.00
DISC1,36.06,44.60,3.91,6.82,29.62,42.20,3.30,38.80,52.11,3.94,17.74,25.00,39.11,3.41,5.88
AL136171.2,0.74,5.99,0.23,0.00,0.67,6.68,0.32,1.11,7.75,0.18,4.84,0.45,5.44,0.20,3.92
DISC1-IT1,0.74,0.20,0.00,0.00,0.00,0.12,0.00,0.16,0.29,0.00,3.23,0.22,0.08,0.02,0.00
SIPA1L2,16.73,13.32,1.03,6.82,10.32,6.80,0.48,15.19,15.45,0.90,27.42,18.08,8.71,0.99,13.73
MAP10,0.74,1.22,0.80,2.27,1.66,1.17,1.83,0.85,1.43,2.51,4.84,0.89,1.05,1.64,3.92
NTPCR,7.81,11.65,8.39,2.27,7.65,11.14,15.51,8.36,8.79,22.88,37.10,7.37,9.21,14.50,15.69
PCNX2,31.60,37.15,7.70,15.91,28.62,39.39,4.49,25.15,29.15,5.79,3.23,37.28,45.94,5.00,13.73
MAP3K21,11.15,4.36,6.09,6.82,20.80,10.43,17.69,14.08,4.89,20.13,6.45,5.36,2.05,12.19,0.00
KCNK1,15.24,3.75,9.89,11.36,18.64,5.51,30.97,12.02,1.21,37.22,16.13,8.93,1.63,18.63,11.76
SLC35F3,0.74,2.73,1.26,0.00,0.83,1.17,0.04,2.86,6.73,0.12,1.61,1.12,1.47,0.15,0.00
AL355472.2,0.37,0.53,0.00,0.00,1.66,0.23,0.04,1.11,1.09,0.00,0.00,0.22,0.34,0.00,0.00
COA6-AS1,1.12,2.00,1.72,4.55,1.16,1.88,2.47,1.43,2.03,2.57,4.84,0.89,1.84,2.71,13.73
COA6,2.60,4.73,5.75,6.82,3.83,6.92,13.48,3.34,6.00,18.64,20.97,1.79,5.32,11.24,15.69
TARBP1,23.79,21.02,17.47,11.36,28.12,23.09,23.90,25.09,22.40,29.15,27.42,19.64,16.04,22.31,35.29
IRF2BP2,34.57,42.00,58.39,70.45,33.94,40.45,66.80,29.27,36.17,76.40,87.10,33.04,32.79,60.53,82.35
AL160408.2,0.37,0.20,0.00,0.00,0.17,0.35,0.00,0.11,0.31,0.06,3.23,0.22,0.25,0.02,1.96
AL160408.1,0.00,0.53,0.46,0.00,0.17,0.59,0.32,0.53,0.29,0.72,0.00,1.12,0.29,0.22,0.00
LINC01132,0.37,0.20,0.23,2.27,1.33,0.35,0.40,0.42,0.17,0.36,0.00,0.45,0.17,0.27,0.00
AL391832.4,0.37,1.18,0.46,0.00,0.83,0.35,0.20,0.85,1.40,0.06,0.00,1.34,0.42,0.35,1.96
AL391832.2,2.60,1.79,1.49,2.27,1.50,0.70,1.67,1.80,1.36,1.85,6.45,1.34,0.67,1.52,7.84
LINC01348,0.37,0.57,0.11,0.00,1.66,0.00,0.12,1.64,0.39,0.30,0.00,1.34,0.00,0.10,0.00
AL732292.2,0.74,0.61,0.46,0.00,0.67,1.41,0.36,0.53,0.58,0.36,1.61,0.45,0.80,0.32,0.00
TOMM20,28.25,35.15,63.68,59.09,38.44,43.85,81.15,26.26,39.18,86.14,67.74,19.42,34.67,67.52,68.63
RBM34,2.23,1.75,2.30,2.27,3.49,2.34,3.18,2.06,1.82,4.42,9.68,2.23,2.22,2.31,7.84
ARID4B,79.93,69.41,38.16,52.27,84.36,75.97,50.02,74.33,72.32,56.39,64.52,68.30,71.82,42.33,64.71
GGPS1,3.72,5.05,13.79,4.55,6.66,9.85,17.50,3.49,6.37,21.21,24.19,3.79,6.49,13.73,15.69
TBCE,10.78,7.17,3.33,2.27,15.31,8.79,3.46,9.48,6.30,4.00,3.23,7.37,6.11,2.88,3.92
TBCE,2.97,2.65,2.30,6.82,7.49,4.10,5.33,5.19,3.63,5.14,9.68,2.01,2.51,4.28,1.96
B3GALNT2,19.33,12.26,13.45,15.91,35.61,15.12,17.06,26.89,14.48,19.47,20.97,18.53,11.52,14.10,19.61
GNG4,2.97,1.30,0.23,0.00,3.16,2.11,0.20,4.02,1.38,0.18,1.61,10.94,3.22,0.57,35.29
LYST,56.88,58.82,8.39,15.91,50.08,56.74,9.46,56.11,61.72,12.66,48.39,62.72,65.62,9.52,45.10
LINC02768,1.12,0.49,0.00,0.00,0.67,0.82,0.00,0.58,0.24,0.06,0.00,1.56,0.04,0.00,0.00
NID1,23.42,24.48,14.94,34.09,26.79,12.66,22.62,24.09,14.24,25.93,33.87,12.95,8.33,18.13,39.22
GPR137B,20.45,20.77,5.86,6.82,13.31,16.06,2.47,17.52,18.50,6.63,9.68,17.86,14.91,4.45,5.88
ERO1B,37.92,35.19,5.98,9.09,37.44,36.46,6.00,38.49,44.75,5.79,22.58,34.15,33.17,5.70,11.76
EDARADD,12.64,7.25,0.92,0.00,15.81,8.09,3.06,6.83,2.74,3.52,0.00,4.02,6.95,2.34,0.00
LGALS8,13.38,16.86,11.61,15.91,12.98,19.46,11.25,12.02,18.01,16.07,38.71,12.95,16.08,11.94,27.45
LGALS8-AS1,0.37,0.16,0.00,0.00,0.33,0.12,0.04,0.21,0.17,0.18,1.61,0.00,0.13,0.07,0.00
AL359921.2,0.37,0.53,1.15,0.00,0.33,0.94,1.27,0.37,0.92,1.43,0.00,0.45,0.63,1.02,0.00
AL359921.1,4.83,5.42,0.11,0.00,9.65,7.39,0.48,7.78,5.76,0.60,1.61,4.46,5.36,0.37,0.00
HEATR1,20.45,16.01,7.13,11.36,32.45,16.88,13.92,25.94,16.97,17.14,25.81,21.21,13.69,10.97,27.45
ACTN2,2.23,2.36,0.00,0.00,2.33,1.52,0.08,3.34,2.23,0.12,1.61,4.24,1.21,0.05,0.00
MTR,39.41,36.42,28.39,20.45,49.42,40.56,34.16,41.72,37.85,35.13,33.87,32.59,34.55,26.64,37.25
RYR2,1.49,1.71,0.00,0.00,5.82,3.05,0.08,10.22,3.61,0.12,4.84,3.12,1.34,0.05,0.00
MTRNR2L11,1.12,0.12,0.00,0.00,1.16,0.35,0.08,0.95,0.41,0.12,1.61,0.89,0.17,0.05,3.92
LINC01139,4.46,3.26,11.72,11.36,7.49,5.98,9.30,3.60,0.70,8.12,4.84,2.23,1.34,7.41,13.73
CHRM3,4.09,2.61,0.69,0.00,7.49,6.10,0.16,10.06,12.03,0.42,25.81,3.35,3.52,0.20,0.00
CHRM3-AS2,0.74,1.71,0.11,2.27,0.83,2.93,0.32,0.85,2.83,0.30,14.52,1.12,2.39,0.45,0.00
FMN2,1.49,1.71,0.92,2.27,3.66,2.11,0.95,1.75,0.99,1.19,3.23,1.12,0.54,0.67,0.00
GREM2,9.29,7.25,1.26,2.27,1.33,2.46,0.16,2.17,1.14,0.06,1.61,4.24,2.30,0.45,7.84
RGS7,2.60,1.55,0.00,0.00,3.49,1.88,0.00,3.44,5.93,0.00,1.61,2.23,1.76,0.00,0.00
AL359764.3,1.12,1.83,0.11,0.00,1.83,3.17,0.20,1.85,2.91,0.06,0.00,0.89,2.18,0.05,0.00
FH,7.43,6.56,8.28,6.82,12.31,11.61,26.60,8.52,7.77,34.89,29.03,4.02,6.20,19.05,11.76
KMO,5.20,5.87,0.80,0.00,1.66,4.22,0.04,8.89,19.76,0.12,0.00,3.57,4.10,0.07,0.00
OPN3,6.32,4.97,1.72,2.27,5.66,5.86,3.94,8.10,11.86,3.29,12.90,7.81,4.94,3.36,17.65
CHML,7.81,9.90,8.05,9.09,11.81,10.90,16.02,13.02,15.16,13.50,24.19,9.15,8.54,9.35,27.45
WDR64,0.74,1.26,0.11,0.00,0.33,1.76,0.00,1.59,7.65,0.00,0.00,0.89,2.05,0.07,0.00
EXO1,0.37,0.57,0.23,0.00,8.15,3.05,4.89,0.79,0.41,0.66,1.61,0.45,0.08,0.67,0.00
PLD5,2.23,3.91,0.00,0.00,0.83,0.82,0.16,1.22,1.16,0.48,0.00,1.56,0.50,0.12,0.00
AL591686.2,7.06,5.62,0.11,4.55,0.00,0.82,0.04,1.38,1.33,0.00,0.00,0.45,0.50,0.05,0.00
AL591686.1,0.00,0.08,0.11,2.27,0.00,0.00,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CEP170,44.61,38.17,18.28,29.55,46.26,33.29,27.12,41.29,44.33,27.90,35.48,30.36,25.63,21.44,43.14
SDCCAG8,49.07,51.24,25.17,29.55,54.24,44.31,31.61,52.67,55.01,32.74,41.94,42.41,35.93,26.64,41.18
AKT3,77.70,63.87,36.67,27.27,86.86,68.23,53.24,73.74,56.17,58.24,64.52,64.73,60.13,42.10,43.14
AL662889.1,1.12,0.08,0.23,0.00,0.17,0.12,0.28,0.16,0.10,0.30,1.61,0.22,0.08,0.17,1.96
AKT3-IT1,2.23,1.14,1.26,4.55,3.00,1.52,1.27,1.69,0.80,1.55,3.23,2.90,0.92,1.37,0.00
ZBTB18,5.58,6.23,4.83,2.27,8.99,10.20,13.80,12.23,14.60,18.34,29.03,6.70,6.83,12.41,11.76
C1orf100,0.37,1.30,0.00,0.00,1.00,1.76,0.04,0.64,1.69,0.00,0.00,0.67,2.60,0.05,0.00
AL645465.1,16.36,10.63,0.00,0.00,23.63,14.42,0.60,19.59,13.05,0.78,0.00,18.30,14.78,0.27,0.00
ADSS,33.09,21.96,17.82,11.36,42.93,29.19,42.27,36.47,25.81,59.86,56.45,30.80,26.93,35.74,29.41
CATSPERE,11.15,8.39,1.03,4.55,19.97,7.39,2.43,12.81,7.70,2.39,0.00,11.16,5.11,1.79,1.96
DESI2,24.54,16.37,11.38,13.64,40.43,24.38,27.24,29.01,18.52,33.33,48.39,19.87,14.41,21.71,23.53
BX323046.2,1.49,0.49,0.23,0.00,1.00,0.70,0.83,1.75,0.90,0.48,1.61,1.34,0.34,0.42,0.00
COX20,17.10,21.18,25.17,29.55,22.80,30.01,43.62,15.03,21.48,53.11,66.13,10.71,21.94,34.02,56.86
HNRNPU,73.61,68.72,82.99,70.45,83.36,79.13,89.90,78.03,75.16,93.13,91.94,69.42,69.10,82.24,88.24
AL356512.1,1.86,0.45,1.72,0.00,1.33,0.47,0.60,0.58,0.19,0.96,1.61,0.67,0.21,0.77,0.00
EFCAB2,42.38,24.28,5.86,9.09,44.26,24.15,5.41,38.38,22.52,6.27,14.52,31.70,17.17,4.95,11.76
KIF26B,40.15,17.72,12.87,13.64,57.24,21.45,32.33,36.79,9.23,41.70,30.65,20.31,9.51,24.84,17.65
KIF26B-AS1,2.23,2.77,0.00,0.00,7.82,5.16,0.00,4.61,0.97,0.06,0.00,2.01,1.42,0.02,0.00
AC104462.1,1.12,0.16,0.00,0.00,0.00,0.12,0.00,0.05,0.02,0.06,0.00,0.00,0.04,0.00,0.00
SMYD3,66.17,60.20,10.00,4.55,81.20,69.17,14.08,69.77,61.72,19.18,20.97,61.61,61.39,12.34,17.65
AC118555.1,0.37,1.06,0.00,0.00,0.33,0.70,0.00,0.00,0.92,0.00,0.00,0.67,0.75,0.00,0.00
SMYD3-IT1,0.00,0.24,0.00,0.00,0.33,0.00,0.08,0.32,0.02,0.18,1.61,0.45,0.17,0.22,0.00
TFB2M,4.09,3.83,5.63,4.55,12.65,8.09,13.36,10.01,4.67,19.35,12.90,7.14,4.48,10.40,11.76
CNST,30.86,24.85,11.95,11.36,38.94,28.37,17.77,33.77,30.29,26.40,32.26,19.87,25.92,16.66,21.57
AL591623.1,0.74,0.33,1.84,0.00,2.33,0.35,1.51,2.38,0.46,1.91,6.45,1.56,0.46,1.37,0.00
AL591848.2,0.00,0.24,0.00,0.00,0.17,0.23,0.00,0.11,0.15,0.00,0.00,0.00,0.08,0.02,1.96
SCCPDH,11.15,8.15,12.07,18.18,11.65,9.73,25.77,7.78,5.71,28.55,33.87,6.70,5.53,19.07,33.33
AL591848.4,1.12,0.49,0.80,0.00,0.67,0.94,0.80,0.37,0.12,0.60,1.61,0.67,0.46,0.67,1.96
LINC01341,3.35,2.40,3.45,4.55,5.16,2.81,3.06,2.38,1.02,3.23,6.45,2.90,1.42,3.16,3.92
AHCTF1,55.39,35.56,20.92,18.18,69.22,41.74,37.89,53.57,36.76,39.49,53.23,44.64,32.83,29.40,43.14
ZNF695,0.00,0.37,0.11,0.00,4.49,1.52,0.83,0.64,0.39,0.24,0.00,0.45,0.17,0.40,0.00
ZNF670,4.46,4.28,0.69,2.27,7.99,6.21,1.47,6.03,6.32,2.27,8.06,5.80,3.89,2.01,3.92
ZNF669,2.97,3.26,1.49,2.27,3.99,3.87,2.23,2.81,3.97,2.75,12.90,2.90,3.02,2.36,1.96
C1orf229,0.00,0.29,0.23,0.00,0.33,0.12,0.16,0.16,0.27,0.06,1.61,0.00,0.25,0.20,0.00
ZNF124,12.27,16.33,0.92,4.55,15.97,18.41,3.02,18.00,21.31,2.27,9.68,14.06,13.44,2.01,3.92
AL390728.6,5.58,15.80,8.85,6.82,6.32,17.23,15.90,6.62,18.50,18.58,20.97,6.47,15.70,13.08,7.84
AL390728.5,0.00,1.63,0.23,0.00,1.33,2.11,0.20,1.16,1.69,0.30,0.00,1.56,1.55,0.10,0.00
ZNF496,16.73,11.65,7.01,4.55,24.79,13.25,11.97,14.61,9.52,11.95,16.13,12.95,7.45,9.20,7.84
AC104335.1,1.12,2.00,0.00,0.00,0.17,2.70,0.04,0.58,1.23,0.00,0.00,0.67,1.21,0.00,0.00
NLRP3,5.20,6.72,2.99,2.27,2.16,4.57,0.36,8.73,12.03,0.24,1.61,4.46,3.64,0.85,1.96
OR2B11,0.37,0.41,0.11,0.00,0.17,0.12,0.12,0.26,1.11,0.12,0.00,0.00,0.29,0.02,0.00
AL390860.1,0.00,0.65,0.00,0.00,1.33,0.70,0.04,1.59,2.28,0.00,1.61,1.12,0.25,0.00,0.00
TRIM58,0.37,0.65,0.23,2.27,0.67,2.58,0.32,0.85,0.65,0.24,0.00,0.45,0.59,0.20,0.00
OR2L2,0.00,0.73,0.34,0.00,1.33,0.59,0.64,1.48,1.02,0.96,1.61,0.45,0.17,0.32,0.00
OR2G6,0.00,0.04,0.00,0.00,0.17,0.00,0.00,0.05,0.12,0.00,1.61,0.00,0.00,0.00,0.00
SH3BP5L,6.69,4.32,7.01,6.82,7.32,6.57,13.52,4.87,5.13,15.53,22.58,3.35,3.73,10.52,21.57
ZNF672,5.20,4.36,10.46,9.09,9.48,4.57,17.46,6.30,7.77,18.16,19.35,4.91,3.64,13.13,15.69
ZNF692,3.72,5.09,6.67,2.27,9.32,7.15,13.08,6.03,6.27,14.10,9.68,4.91,4.86,9.80,5.88
PGBD2,1.49,2.40,2.99,0.00,2.66,4.57,4.45,2.54,4.14,4.54,12.90,0.89,2.60,3.21,5.88
FAM110C,0.37,0.29,0.46,2.27,0.17,0.23,0.16,0.21,0.10,0.18,0.00,0.45,0.17,0.22,0.00
SH3YL1,19.33,20.98,26.67,29.55,30.28,23.33,30.78,23.08,17.36,36.02,35.48,18.53,16.37,28.15,33.33
ACP1,10.04,17.68,29.31,15.91,18.97,26.26,58.53,12.81,19.03,71.45,54.84,8.93,16.79,45.56,54.90
AC079779.2,1.12,1.18,0.00,0.00,2.50,1.41,0.16,1.22,1.82,0.30,0.00,1.34,1.01,0.32,0.00
AC093326.1,0.00,0.00,0.00,0.00,0.17,0.23,0.32,0.00,0.02,1.02,0.00,0.00,0.04,0.35,0.00
TMEM18,3.35,8.07,12.64,9.09,9.32,11.25,19.88,5.40,8.60,15.47,25.81,5.36,6.62,12.36,21.57
AC092159.2,0.74,0.41,0.00,0.00,1.33,0.35,0.00,1.01,0.65,0.06,0.00,0.22,0.29,0.02,0.00
SNTG2-AS1,0.37,0.65,0.23,0.00,0.00,0.12,0.36,0.11,0.07,0.42,1.61,0.00,0.08,0.20,0.00
SNTG2,11.15,2.97,0.11,2.27,3.00,1.52,0.04,4.08,2.20,0.00,3.23,0.89,0.80,0.05,0.00
AC144450.1,0.00,0.08,0.11,0.00,0.67,0.35,0.20,0.11,0.07,0.12,1.61,0.22,0.04,0.10,0.00
PXDN,24.16,8.02,10.69,27.27,21.30,5.98,1.87,12.28,3.63,2.09,14.52,4.69,0.84,2.41,0.00
MYT1L,1.12,0.33,0.46,2.27,1.16,0.70,0.20,0.90,0.48,0.24,1.61,0.45,0.50,0.35,0.00
LINC01250,0.37,0.90,0.00,0.00,0.67,1.06,0.00,0.90,3.63,0.00,0.00,0.45,0.71,0.00,0.00
AC019118.2,1.12,0.73,0.00,0.00,1.66,1.17,0.00,1.38,1.55,0.00,0.00,0.45,0.80,0.05,0.00
EIPR1,18.22,14.34,6.90,2.27,29.62,21.34,11.69,21.39,20.90,18.40,19.35,16.74,15.75,9.92,7.84
EIPR1-IT1,0.00,0.00,0.00,0.00,0.17,0.00,0.04,0.21,0.10,0.06,0.00,0.00,0.04,0.02,1.96
TRAPPC12,37.55,28.80,14.37,4.55,47.75,34.00,24.02,39.86,35.08,31.72,19.35,28.57,27.01,20.07,35.29
TRAPPC12-AS1,0.74,1.02,0.23,0.00,0.00,1.64,0.12,0.11,1.02,0.06,0.00,0.00,1.05,0.12,0.00
