gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
KDM4C,68.84,66.72,23.09,13.05,4
AL513412.1,0.11,0.06,0.04,0.00,0
AL161443.1,2.44,2.74,0.48,0.26,2
AL157703.1,0.06,0.03,0.00,0.00,0
AL354694.1,0.04,0.05,0.14,0.00,0
DMAC1,4.87,9.84,36.91,28.72,4
AL135923.2,0.09,0.06,0.01,0.00,0
PTPRD,21.32,17.06,2.41,22.98,4
AL583805.2,0.15,0.03,0.03,0.52,0
PTPRD-AS1,0.72,1.16,0.27,5.48,2
AL596451.1,0.04,0.27,0.00,0.00,0
AL355672.1,0.08,0.10,0.00,0.00,0
AL353595.1,0.30,0.20,0.01,0.00,0
TYRP1,0.02,0.00,0.00,0.00,0
LURAP1L-AS1,0.49,0.91,0.03,0.00,0
LURAP1L,2.72,2.66,2.41,1.83,4
AL161449.2,0.13,0.36,0.00,0.00,0
MPDZ,18.00,9.66,8.45,19.32,4
AL162386.2,0.17,0.03,0.29,1.83,1
AL583785.1,0.62,0.50,0.03,1.83,1
LINC01235,0.28,0.17,0.03,1.04,1
LINC00583,0.04,0.00,0.00,0.00,0
AL360089.1,0.00,0.01,0.00,0.00,0
NFIB,18.77,14.83,5.72,32.38,4
AL136366.1,1.28,0.84,0.05,0.26,1
AL137017.1,0.04,0.15,0.00,0.00,0
AL159169.3,0.02,0.09,0.07,0.52,0
AL159169.2,0.11,0.91,0.57,1.04,1
ZDHHC21,20.23,29.12,12.59,19.32,4
CER1,0.02,0.00,0.00,0.00,0
FREM1,2.66,1.57,0.08,1.57,3
AL512643.2,0.00,0.02,0.00,0.00,0
TTC39B,21.47,29.70,10.80,17.49,4
SNAPC3,16.19,15.27,21.59,22.19,4
PSIP1,20.70,35.19,22.95,32.90,4
CCDC171,17.70,10.83,9.98,8.62,4
C9orf92,0.77,0.39,0.02,0.00,0
BNC2,37.64,17.40,30.17,9.92,4
AL449983.1,0.17,0.60,0.20,0.26,0
AL450003.1,0.02,0.00,0.00,0.00,0
BNC2-AS1,0.13,0.12,0.23,0.78,0
AL162725.2,2.53,1.21,0.37,0.26,2
AL358117.1,0.02,0.01,0.00,0.00,0
CNTLN,30.35,22.25,26.18,18.80,4
SH3GL2,0.79,0.32,0.07,0.26,0
ADAMTSL1,2.83,1.91,0.13,2.35,3
SAXO1,2.59,3.34,0.21,0.00,2
RRAGA,2.76,8.87,39.34,21.15,4
HAUS6,12.12,15.10,13.13,11.75,4
PLIN2,14.75,19.12,3.08,12.53,4
DENND4C,39.64,43.55,9.40,18.02,4
AL161909.2,0.00,0.02,0.00,0.00,0
AL391834.1,0.43,0.81,1.56,0.52,1
AL391834.2,0.28,1.41,0.57,0.78,1
RPS6,61.76,91.10,98.31,87.99,4
AL391834.3,0.26,0.51,0.00,0.00,0
ACER2,9.14,6.14,0.29,0.26,2
AL158206.1,1.06,1.64,1.89,3.13,4
SLC24A2,0.36,0.47,0.08,0.00,0
AL158077.2,0.06,0.09,0.00,0.00,0
MLLT3,36.90,37.46,12.86,16.45,4
FOCAD,35.03,28.62,19.67,10.97,4
FOCAD-AS1,0.04,0.04,0.05,0.78,0
HACD4,5.74,13.43,11.61,16.19,4
IFNB1,0.00,0.02,0.00,0.00,0
IFNA5,0.00,0.09,0.01,0.00,0
KLHL9,11.12,10.16,40.38,26.63,4
