gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
SULT1C2,0.09,0.60,0.47,1.04,1
SULT1C4,3.06,3.28,7.93,10.44,4
GCC2,45.08,56.41,65.26,44.39,4
GCC2-AS1,5.34,4.30,0.15,0.52,2
LIMS1,55.92,43.69,44.61,33.94,4
LIMS1-AS1,0.00,0.05,0.00,0.00,0
RANBP2,60.89,53.09,46.29,35.25,4
CCDC138,32.69,27.12,8.09,4.96,4
EDAR,0.15,0.27,0.08,0.00,0
SH3RF3-AS1,0.36,0.39,1.90,1.83,2
SH3RF3,40.13,21.40,3.76,5.74,4
SEPTIN10,23.89,11.91,35.70,26.37,4
AC011753.2,0.19,0.05,0.74,0.26,0
SOWAHC,7.20,2.40,34.88,10.97,4
AC074387.1,0.11,0.06,0.26,0.00,0
RGPD5,11.54,7.14,10.15,9.92,4
LIMS3,0.08,0.05,0.03,0.00,0
LINC01123,0.08,0.10,0.00,0.00,0
MALL,1.36,1.05,0.77,5.74,3
NPHP1,7.84,3.87,8.81,6.27,4
MTLN,4.15,10.29,40.12,22.72,4
LINC01106,0.43,0.46,0.29,0.26,0
LIMS4,0.04,0.05,0.00,0.00,0
AC112229.2,0.00,0.01,0.01,0.00,0
RGPD6,0.30,0.15,0.01,0.00,0
AC226101.1,0.08,0.00,0.00,0.00,0
BUB1,1.44,1.60,3.34,0.26,3
AC114776.1,0.00,0.02,0.02,0.00,0
ACOXL,1.30,2.36,0.10,0.00,2
MIR4435-2HG,27.63,31.72,4.94,7.31,4
ACOXL-AS1,0.23,0.24,0.21,0.26,0
BCL2L11,27.67,24.49,8.55,20.37,4
AC108463.2,0.13,0.17,0.00,0.00,0
AC108463.3,0.77,0.84,0.68,1.31,1
AC068491.2,0.09,0.42,0.00,0.00,0
AC068491.3,1.11,0.65,0.45,0.78,1
AC017002.6,0.47,0.30,0.00,0.00,0
AC017002.5,3.76,2.85,0.00,0.00,2
AC017002.3,0.21,0.24,0.03,0.52,0
AC017002.1,0.68,0.04,0.07,0.00,0
ANAPC1,20.17,20.49,16.35,14.62,4
MERTK,17.34,17.91,1.54,9.92,4
AC093675.1,1.79,2.87,0.12,0.26,2
TMEM87B,19.53,21.49,21.21,15.14,4
AC093675.2,0.02,0.02,0.00,0.00,0
FBLN7,15.69,6.95,31.96,7.05,4
ZC3H8,21.13,14.18,18.65,17.49,4
AC092645.2,0.76,0.96,0.72,2.09,1
ZC3H6,21.27,32.50,16.98,18.02,4
RGPD8,9.24,4.76,0.37,0.52,2
TTL,15.35,10.88,11.04,11.49,4
POLR1B,4.91,4.57,3.95,6.53,4
CHCHD5,3.14,8.46,33.58,20.10,4
AC012442.2,2.53,1.68,0.00,0.00,2
AC012442.1,0.00,0.01,0.22,0.52,0
AC079922.2,0.76,1.20,2.11,1.31,3
SLC20A1,40.38,33.87,37.40,25.07,4
NT5DC4,0.09,0.10,0.02,0.00,0
CKAP2L,1.10,0.57,3.37,0.26,2
IL1A,0.93,1.33,0.09,0.26,1
AC079753.2,0.57,1.28,0.18,0.00,1
IL1B,5.70,11.87,2.23,2.61,4
IL37,0.04,0.01,0.01,0.00,0
IL36G,0.02,0.01,0.01,0.00,0
IL36A,0.02,0.00,0.00,0.00,0
IL36B,0.02,0.01,0.00,0.00,0
IL1RN,0.60,2.76,0.20,0.00,1
PSD4,6.57,16.94,4.14,5.48,4
AC016683.1,0.02,0.12,0.00,0.00,0
PAX8-AS1,22.91,2.94,26.83,8.09,4
PAX8,2.25,0.43,2.57,0.52,2
AC016745.1,2.66,1.86,0.04,0.00,2
IGKV1OR2-108,0.02,0.01,0.00,0.00,0
AC016745.2,0.59,1.30,0.84,0.52,1
CBWD2,16.49,11.43,13.23,4.96,4
FOXD4L1,0.06,0.12,0.18,0.00,0
LINC01961,0.02,0.00,0.00,0.00,0
PGM5P4-AS1,0.02,0.13,0.00,0.00,0
FAM138B,0.00,0.02,0.00,0.00,0
AL078621.4,0.06,0.04,0.04,0.00,0
RABL2A,9.05,5.86,6.10,4.44,4
AC017074.2,0.04,0.09,0.00,0.00,0
AC017074.1,4.38,3.69,0.07,0.00,2
SLC35F5,33.65,27.67,52.59,28.46,4
AC104653.2,0.06,0.08,0.01,0.00,0
AC104653.1,0.85,0.76,0.47,0.52,0
AC110769.2,2.49,1.56,3.05,1.31,4
ACTR3,38.92,50.03,55.02,44.39,4
LINC01191,5.17,7.34,0.45,0.00,2
AC110769.1,0.04,0.02,0.02,0.00,0
DPP10,1.08,0.93,0.00,0.00,1
AC093610.1,0.00,0.02,0.00,0.00,0
DPP10-AS1,0.02,0.01,0.01,0.00,0
AC016721.1,0.02,0.04,0.00,0.00,0
AC009312.1,0.66,0.40,0.00,0.00,0
DDX18,27.03,36.96,45.72,33.68,4
AC009404.1,9.25,7.66,3.63,3.92,4
CCDC93,33.67,27.64,14.54,13.05,4
AC009303.2,0.74,1.55,0.01,0.26,1
INSIG2,12.88,14.39,29.47,21.67,4
THORLNC,0.40,0.60,0.30,0.52,0
LINC01956,0.55,0.21,0.02,0.26,0
EN1,0.06,0.06,0.00,0.52,0
MARCO,0.74,0.55,0.02,0.00,0
AC013457.1,0.02,0.02,0.00,0.00,0
C1QL2,0.00,0.00,0.03,0.00,0
STEAP3,5.95,1.66,9.37,9.14,4
STEAP3-AS1,0.96,0.53,0.13,0.00,0
C2orf76,7.80,8.11,9.91,6.79,4
DBI,10.48,26.10,67.68,41.51,4
TMEM37,1.42,2.35,1.79,5.22,4
SCTR,0.23,0.96,0.21,0.26,0
AC013275.1,0.09,0.06,0.03,0.00,0
CFAP221,2.40,0.83,0.57,2.09,2
TMEM177,1.44,1.23,2.30,2.87,4
PTPN4,41.66,45.57,27.15,26.89,4
EPB41L5,16.56,13.61,4.62,4.96,4
AC012363.1,2.64,2.95,0.01,0.00,2
TMEM185B,3.38,3.90,12.54,9.40,4
RALB,12.73,11.85,13.15,12.79,4
AC012363.2,0.09,0.19,0.00,0.00,0
INHBB,1.17,0.77,0.36,5.74,2
AC073257.2,0.11,0.09,0.02,3.39,1
AC073257.1,0.04,0.02,0.00,0.26,0
AC018866.1,0.02,0.04,0.00,0.00,0
GLI2,23.25,7.16,20.56,7.57,4
AC017033.1,0.34,0.67,7.67,5.22,2
AC067960.1,0.06,0.02,0.00,0.00,0
AC079988.1,0.02,0.01,0.00,0.00,0
TFCP2L1,2.59,1.57,5.28,2.09,4
CLASP1,64.02,59.90,22.35,23.76,4
AC012447.1,10.41,5.65,0.07,0.26,2
NIFK-AS1,8.93,11.77,8.24,6.53,4
NIFK,7.86,11.91,28.04,16.45,4
TSN,9.93,12.68,42.74,24.28,4
LINC01823,0.26,0.28,0.01,0.00,0
AC011246.1,2.68,3.16,0.01,0.00,2
LINC01826,0.00,0.02,0.00,0.00,0
AC073409.2,0.00,0.01,0.00,0.00,0
AC079154.1,0.06,0.02,0.00,0.00,0
CNTNAP5,0.89,0.72,0.01,0.26,0
AC097499.2,0.00,0.01,0.00,0.00,0
LINC01889,0.04,0.04,0.00,0.00,0
AC142116.2,0.06,0.03,0.00,0.00,0
AC023347.1,0.00,0.02,0.01,0.26,0
GYPC,10.42,28.28,2.61,14.36,4
TEX51,0.02,0.01,0.00,0.00,0
AC012508.2,0.02,0.01,0.03,0.00,0
AC012508.3,0.00,0.02,0.01,0.00,0
AC012508.1,0.02,0.15,0.14,0.00,0
BIN1,11.73,15.03,31.99,10.18,4
AC110926.2,0.09,0.05,0.64,0.26,0
CYP27C1,16.30,2.39,26.29,3.13,4
ERCC3,12.88,15.03,14.93,13.58,4
AC068282.1,6.82,17.47,0.30,0.52,2
MAP3K2,55.00,52.52,53.63,38.64,4
MAP3K2-DT,2.13,1.94,4.22,1.83,4
AC068282.2,0.19,0.06,0.57,0.26,0
PROC,0.09,0.22,0.21,0.26,0
IWS1,33.43,25.44,28.30,16.45,4
AC010976.1,1.34,4.98,0.04,0.26,2
MYO7B,0.72,0.64,0.02,0.00,0
AC010976.2,0.21,0.17,0.29,0.26,0
LIMS2,7.55,4.35,8.39,10.97,4
GPR17,0.08,0.22,0.53,0.26,0
WDR33,46.61,48.10,32.72,25.33,4
SFT2D3,3.61,3.93,10.44,6.53,4
POLR2D,9.97,7.20,17.63,9.66,4
AMMECR1L,9.50,6.55,12.39,16.71,4
AC012306.2,0.81,0.60,0.98,0.26,0
AC012306.3,2.10,0.74,0.77,0.78,1
SAP130,16.37,14.62,5.42,6.53,4
UGGT1,22.83,24.03,25.40,18.54,4
HS6ST1,18.83,9.68,12.24,8.09,4
AC012451.1,0.02,0.01,0.00,0.00,0
LINC01854,0.00,0.01,0.01,0.00,0
LINC02572,0.43,0.41,0.12,0.00,0
AC079776.5,0.06,0.03,0.09,0.00,0
LINC01856,0.08,0.05,0.02,0.26,0
RAB6C,0.00,0.00,0.02,0.00,0
POTEF,0.06,0.09,0.00,0.00,0
CCDC74B,0.60,0.60,2.63,1.04,2
SMPD4,17.00,14.43,33.67,19.06,4
MZT2B,15.96,36.95,83.08,44.65,4
TUBA3E,0.00,0.09,0.02,0.00,0
CCDC115,1.79,9.25,8.20,12.53,4
IMP4,4.72,10.11,34.48,15.14,4
PTPN18,12.52,17.12,31.96,19.58,4
POTEI,0.02,0.01,0.00,0.00,0
AC013269.2,0.02,0.01,0.00,0.00,0
AC013269.1,0.06,0.03,0.00,0.00,0
AC140481.2,0.02,0.13,0.00,0.00,0
POTEJ,0.00,0.01,0.00,0.00,0
AC140481.1,0.06,0.03,0.00,0.00,0
AMER3,0.02,0.02,0.01,0.00,0
AC133785.1,0.00,0.01,0.01,0.00,0
ARHGEF4,1.10,1.16,1.62,2.09,4
FAM168B,26.10,22.38,39.65,24.54,4
PLEKHB2,20.28,20.62,27.12,15.93,4
RAB6D,0.00,0.01,0.03,0.00,0
LINC01120,0.00,0.01,0.00,0.00,0
AC073869.3,0.17,0.24,1.23,0.52,1
MZT2A,11.80,18.78,62.33,26.11,4
TUBA3D,0.11,0.25,0.13,0.00,0
CCDC74A,1.78,1.75,13.66,2.09,4
AC093838.1,0.04,0.05,0.01,0.00,0
LINC01087,0.08,0.02,0.18,0.52,0
C2orf27A,8.90,3.61,10.99,8.09,4
AJ239322.2,0.02,0.01,0.00,0.00,0
AJ239322.1,0.00,0.00,0.01,0.00,0
LINC01945,0.00,0.01,0.00,0.00,0
AC093787.2,0.45,0.23,0.82,0.52,0
ANKRD30BL,3.19,0.91,0.00,0.00,1
AC097532.2,0.42,0.22,1.70,2.87,2
AC097532.3,0.34,0.19,0.34,0.78,0
GPR39,2.29,0.88,0.09,0.00,1
LYPD1,1.06,0.61,0.38,0.52,1
AC010974.1,0.04,0.04,0.00,0.00,0
NCKAP5,35.30,14.10,28.68,16.45,4
AC010974.2,1.72,2.49,0.00,0.00,2
NCKAP5-AS1,0.45,0.81,0.01,0.00,0
NCKAP5-AS2,3.57,1.60,1.42,1.04,4
NCKAP5-IT1,0.06,0.05,0.10,0.26,0
AC011243.1,0.02,0.01,0.00,0.00,0
AC092623.1,0.06,0.00,0.01,0.00,0
MGAT5,58.17,54.59,38.72,20.37,4
TMEM163,2.12,2.64,0.20,0.00,2
AC110620.2,0.06,0.02,0.00,0.00,0
CCNT2-AS1,8.48,5.83,3.18,1.04,4
ACMSD,0.21,1.43,0.03,0.00,1
CCNT2,31.90,29.53,26.89,24.02,4
MAP3K19,0.74,3.16,0.03,0.26,1
RAB3GAP1,42.40,37.37,28.96,23.50,4
ZRANB3,25.27,22.31,9.98,5.22,4
R3HDM1,37.87,38.84,22.92,13.84,4
UBXN4,44.49,47.87,68.03,47.52,4
LCT,0.70,1.08,0.14,0.00,1
AC011893.1,0.00,0.16,0.00,0.26,0
MCM6,7.50,5.81,13.97,7.83,4
DARS,34.28,33.25,51.25,27.15,4
DARS-AS1,4.65,3.18,1.89,1.04,4
AC068492.1,0.00,0.02,0.02,0.00,0
CXCR4,28.37,55.67,1.23,20.37,4
THSD7B,4.44,3.73,0.03,1.57,3
HNMT,11.94,16.70,12.53,21.93,4
LINC01832,0.00,0.02,0.00,0.00,0
AC114763.1,9.76,9.06,0.19,0.26,2
AC114763.2,0.06,0.04,0.00,0.00,0
SPOPL,25.68,23.32,23.17,25.07,4
AC092620.1,1.36,1.46,1.34,2.09,4
AC092620.2,0.09,0.09,0.11,0.26,0
LINC02631,1.40,1.98,0.30,0.00,2
NXPH2,0.47,0.44,0.12,0.00,0
AC023468.1,0.02,0.02,0.00,0.00,0
AC013265.1,0.02,0.01,0.00,0.00,0
LINC01853,0.02,0.02,0.00,0.00,0
LRP1B,2.25,2.70,0.41,0.52,2
KYNU,10.31,17.30,0.15,0.78,2
ARHGAP15,49.78,77.76,0.33,6.01,3
AC013437.1,0.06,1.12,0.00,0.00,1
AC079793.1,6.40,47.60,0.00,0.00,2
AC092652.3,0.36,0.61,0.02,0.52,0
AC092652.1,1.17,14.10,0.00,0.26,2
AC092652.2,0.94,10.75,0.01,0.26,1
AC079584.2,0.02,0.23,0.00,0.26,0
AC079584.1,0.19,0.21,0.00,0.00,0
AC016910.1,0.36,1.78,0.01,0.52,1
GTDC1,43.15,47.47,7.16,14.88,4
ZEB2,47.95,63.22,4.23,44.39,4
AC009951.5,0.55,2.01,0.00,0.00,1
ZEB2-AS1,0.62,0.90,0.05,0.26,0
AC009951.6,0.32,0.96,0.14,6.53,1
LINC01412,0.26,0.36,0.01,0.26,0
TEX41,13.22,10.79,0.88,19.84,3
AC023128.1,0.00,0.02,0.00,0.00,0
AC096666.1,0.02,0.04,0.00,0.00,0
AC092484.1,0.06,0.05,0.00,0.00,0
AC079163.2,0.21,0.12,0.00,0.00,0
AC079248.1,0.00,0.02,0.00,0.00,0
LINC01911,0.00,0.03,0.02,0.00,0
AC062032.1,0.04,0.00,0.00,0.00,0
AC018678.1,0.02,0.02,0.00,0.00,0
ACVR2A,18.13,20.17,6.39,9.40,4
AC009480.1,0.11,0.22,0.02,0.00,0
ORC4,15.71,22.21,15.86,18.28,4
MBD5,63.36,70.48,29.70,30.55,4
EPC2,52.24,42.20,13.46,17.75,4
AC105402.3,0.59,0.52,0.00,0.00,0
KIF5C,3.74,2.77,0.05,1.31,3
AC105402.4,0.11,0.15,0.00,0.00,0
LYPD6B,1.72,3.15,0.01,0.26,2
AC009230.1,0.00,0.29,0.00,0.00,0
LYPD6,0.43,0.09,0.42,0.00,0
MMADHC,12.11,13.21,40.26,24.28,4
AC007364.1,9.24,7.75,1.03,3.13,4
LINC01931,0.34,0.70,0.01,0.00,0
AC016682.1,0.00,0.01,0.00,0.00,0
LINC01818,0.09,0.13,0.00,0.00,0
LINC01817,0.02,0.00,0.00,0.00,0
RND3,9.07,4.68,11.14,27.42,4
LINC01920,0.02,0.00,0.00,0.00,0
LINC02612,0.04,0.02,0.00,0.00,0
AC023469.2,0.00,0.02,0.00,0.00,0
AC023469.1,1.28,0.37,0.00,0.00,1
AC018731.1,0.00,0.01,0.01,0.00,0
RBM43,3.66,9.11,5.56,18.02,4
NMI,5.06,13.33,3.05,9.66,4
TNFAIP6,4.36,5.56,7.37,6.79,4
RIF1,46.23,42.51,43.09,38.38,4
NEB,9.50,10.62,1.14,3.39,4
ARL5A,27.86,30.46,54.47,35.51,4
AC097448.1,0.83,4.34,2.70,5.48,3
CACNB4,5.85,4.93,3.34,8.09,4
AC079790.1,0.19,0.74,0.00,0.00,0
STAM2,23.38,20.56,24.33,17.23,4
AC079790.2,0.28,0.23,0.00,0.26,0
FMNL2,26.99,25.52,1.44,9.66,4
AC012066.2,0.09,0.08,0.15,0.00,0
AC012443.2,0.42,0.60,0.78,0.00,0
PRPF40A,42.74,46.86,52.58,37.86,4
ARL6IP6,15.69,14.71,16.75,11.75,4
AC011901.1,0.06,0.02,0.00,0.00,0
LINC01850,0.04,0.01,0.01,0.00,0
AC012501.2,0.25,0.29,0.00,0.00,0
RPRM,0.00,0.02,0.15,0.00,0
GALNT13,1.36,0.29,0.05,0.00,1
AC009227.1,0.04,0.01,0.01,0.00,0
AC061961.1,0.00,0.04,0.00,0.00,0
KCNJ3,0.23,0.14,0.07,1.04,1
AC073225.1,0.42,0.40,0.10,0.52,0
LINC01876,6.42,6.82,0.78,0.26,2
AC074099.1,1.08,1.46,0.04,0.00,2
NR4A2,48.52,52.78,28.55,27.94,4
GPD2,28.25,25.52,10.40,7.57,4
LINC01958,0.06,0.02,0.00,0.00,0
AC096589.2,0.00,0.00,0.02,0.00,0
AC096589.1,0.00,0.02,0.00,0.00,0
AC108057.1,0.00,0.02,0.00,0.00,0
GALNT5,12.92,4.39,51.91,21.41,4
ERMN,1.15,2.97,0.07,0.52,2
CYTIP,19.07,41.55,0.14,8.36,3
ACVR1C,2.23,1.32,0.88,1.04,3
AC019186.1,4.23,1.28,0.94,0.00,2
ACVR1,29.35,13.86,15.74,10.70,4
UPP2,5.16,4.14,0.02,0.00,2
AC013731.1,0.23,0.16,0.41,0.00,0
AC091488.1,0.04,0.08,0.25,0.00,0
CCDC148-AS1,0.04,0.16,0.00,0.00,0
CCDC148,7.29,2.84,1.96,1.31,4
PKP4,47.63,23.19,49.27,25.07,4
PKP4-AS1,1.76,0.98,0.09,0.78,1
AC005042.2,0.47,0.42,0.00,0.00,0
DAPL1,0.66,1.41,5.04,5.74,3
AC064843.1,0.00,0.03,0.01,0.00,0
TANC1,43.89,16.85,46.96,34.73,4
WDSUB1,12.73,14.82,3.80,3.92,4
BAZ2B,54.24,53.88,29.91,37.34,4
AC008277.1,0.13,0.85,0.01,0.52,0
AC009506.1,0.25,0.40,0.44,1.04,1
AC009961.1,4.63,3.85,0.99,2.09,3
MARCH7,45.17,42.34,40.86,32.38,4
CD302,10.35,28.40,7.21,27.15,4
AC009961.4,0.47,0.43,0.07,0.52,0
LY75,10.18,22.96,0.61,10.70,3
PLA2R1,22.23,11.97,14.12,21.93,4
ITGB6,0.17,0.03,0.02,0.52,0
AC092153.1,0.83,1.01,0.00,0.00,1
LINC02478,0.11,0.19,0.19,0.26,0
RBMS1,62.38,60.18,40.21,42.56,4
AC009313.1,1.85,8.78,0.00,0.00,2
TANK,49.24,55.93,30.43,25.33,4
AC009299.3,0.68,2.66,0.02,0.00,1
LINC01806,0.45,1.01,1.10,0.00,2
PSMD14,24.68,21.18,29.04,21.67,4
TBR1,0.25,0.15,0.18,0.00,0
AC009487.1,0.00,0.01,0.01,0.00,0
SLC4A10,2.83,2.83,0.13,1.31,3
AC062022.2,0.02,0.09,0.01,0.00,0
DPP4,6.19,7.11,0.18,3.13,3
AC008063.1,0.15,0.20,0.00,0.78,0
AC008063.2,0.02,0.00,0.00,0.00,0
GCG,0.06,0.02,0.00,0.00,0
AC007750.1,0.09,0.12,0.01,0.26,0
FAP,9.93,6.85,1.79,7.57,4
IFIH1,7.55,20.15,0.42,5.48,3
GCA,4.53,11.56,0.78,5.74,3
KCNH7,0.26,0.38,0.11,0.26,0
AC011900.1,0.00,0.01,0.00,0.00,0
FIGN,4.97,2.81,10.14,4.44,4
AC016766.1,0.36,0.43,0.01,0.00,0
GRB14,1.15,1.65,1.88,1.04,4
COBLL1,37.45,22.71,51.71,24.28,4
AC019197.1,1.81,2.82,0.37,0.78,2
SLC38A11,0.66,0.89,0.21,1.31,1
SCN3A,0.38,1.67,0.05,0.52,1
SCN2A,0.51,0.64,0.04,0.00,0
AC011303.1,0.00,0.01,0.08,0.00,0
CSRNP3,19.40,12.11,18.31,20.89,4
GALNT3,10.99,12.63,3.95,11.75,4
AC009495.3,1.40,2.99,0.07,0.78,2
AC009495.1,5.29,6.53,0.05,0.00,2
AC009495.2,0.19,0.07,0.13,0.00,0
TTC21B,29.42,25.48,11.48,14.88,4
TTC21B-AS1,0.72,1.37,0.03,0.26,1
SCN1A-AS1,1.02,1.92,0.21,0.52,2
SCN1A,0.15,0.20,0.00,0.00,0
SCN9A,5.42,6.10,1.77,4.70,4
SCN7A,0.21,0.34,0.03,0.26,0
XIRP2,0.49,0.15,0.16,0.00,0
AC073050.1,11.60,7.71,0.08,0.78,2
AC016723.1,2.12,2.41,0.10,0.00,2
B3GALT1,0.55,0.90,1.22,4.18,2
STK39,53.56,49.86,64.34,20.63,4
CERS6,44.40,43.16,26.88,21.15,4
CERS6-AS1,0.23,0.40,0.19,1.04,1
NOSTRIN,7.25,6.63,1.60,8.36,4
SPC25,1.59,2.32,2.19,0.52,3
G6PC2,0.17,0.00,0.00,0.00,0
ABCB11,0.32,0.41,0.13,0.26,0
DHRS9,0.98,2.18,0.04,0.00,1
AC007556.1,0.00,0.01,0.00,0.00,0
LRP2,0.53,0.28,0.15,0.00,0
BBS5,8.63,5.39,8.23,10.70,4
KLHL41,0.85,0.57,0.53,0.00,0
FASTKD1,18.49,14.63,14.31,9.66,4
PPIG,44.27,49.22,58.78,39.16,4
CCDC173,17.36,5.71,11.03,2.35,4
PHOSPHO2,1.91,1.55,4.49,5.22,4
KLHL23,15.03,9.12,5.91,7.31,4
SSB,18.55,27.98,52.98,34.20,4
METTL5,7.14,10.14,29.04,16.71,4
UBR3,58.75,49.89,32.89,25.07,4
MYO3B,2.44,1.80,0.08,0.00,2
MYO3B-AS1,0.08,0.19,0.00,0.00,0
AC007277.1,1.83,0.34,0.19,0.00,1
AC007405.1,1.42,0.47,0.66,0.26,1
LINC01124,0.04,0.00,0.12,0.00,0
SP5,0.00,0.00,0.02,0.00,0
AC007405.3,0.64,0.26,2.93,1.83,2
ERICH2,0.45,0.19,1.44,0.52,1
GAD1,0.36,0.12,0.01,0.00,0
AC007405.2,0.02,0.01,0.03,0.00,0
AC007405.4,0.00,0.02,0.03,0.00,0
AC010092.1,0.30,0.37,0.04,0.00,0
GORASP2,23.12,17.34,50.55,24.80,4
TLK1,48.61,49.52,42.48,26.11,4
METTL8,16.41,13.25,12.46,12.53,4
DCAF17,12.58,10.15,13.42,11.75,4
CYBRD1,18.90,16.37,56.14,35.25,4
DYNC1I2,31.63,30.12,53.57,44.91,4
SLC25A12,25.16,22.54,11.73,12.79,4
HAT1,22.76,16.72,29.75,18.28,4
METAP1D,11.86,7.90,10.44,6.53,4
DLX1,0.21,0.24,0.16,0.52,0
DLX2,0.38,0.45,0.27,0.26,0
DLX2-DT,0.04,0.02,0.01,0.00,0
AC104088.1,7.57,2.83,0.18,0.26,2
AC104088.3,0.76,0.28,1.25,0.78,1
AC104088.2,0.08,0.06,0.01,0.00,0
ITGA6,34.79,21.14,42.89,27.15,4
AC078883.2,0.45,0.41,0.72,1.57,1
ITGA6-AS1,0.59,1.73,0.98,0.52,1
AC078883.1,7.63,8.97,2.04,1.04,4
PDK1,18.47,16.04,24.55,14.62,4
RAPGEF4-AS1,0.42,1.00,0.00,0.00,0
RAPGEF4,23.51,16.08,5.73,22.19,4
MAP3K20,27.04,16.95,34.35,25.33,4
MAP3K20-AS1,0.81,1.76,0.03,0.00,1
CDCA7,2.13,1.75,7.90,3.39,4
SP3,42.30,43.64,34.80,33.42,4
AC016737.1,0.11,0.14,0.11,0.00,0
AC016737.2,0.21,0.12,0.01,0.00,0
LINC01960,0.02,0.05,0.04,0.00,0
OLA1,30.01,28.89,22.40,15.93,4
LINC01305,0.00,0.01,0.00,0.00,0
SP9,0.04,0.00,0.00,0.00,0
CIR1,20.72,30.59,44.19,37.86,4
SCRN3,7.50,7.60,12.23,8.62,4
GPR155,12.18,21.62,12.17,8.62,4
AC010894.2,0.13,0.15,1.52,0.52,1
AC010894.3,4.59,22.52,0.04,0.26,2
WIPF1,53.05,70.46,36.30,36.55,4
AC010894.4,0.00,0.05,0.00,0.00,0
CHRNA1,0.25,0.18,0.01,0.78,0
CHN1,15.51,10.33,11.25,22.72,4
ATF2,40.32,33.65,35.57,25.85,4
AC096649.1,0.00,0.01,0.08,0.00,0
ATP5MC3,7.29,24.85,62.97,38.90,4
AC093459.1,0.25,0.19,0.00,0.00,0
AC016751.2,0.04,0.01,0.00,0.00,0
AC016751.1,0.00,0.02,0.00,0.00,0
LNPK,14.45,15.49,25.29,16.45,4
EVX2,0.02,0.01,0.00,0.00,0
HOXD13,0.02,0.05,0.04,0.00,0
HOXD11,0.04,0.09,0.09,0.00,0
HOXD10,0.62,0.70,0.09,0.00,0
HOXD-AS2,1.36,2.08,7.88,7.57,4
HOXD9,0.49,0.57,0.86,2.87,1
HOXD8,1.68,2.32,5.49,8.09,4
HOXD3,7.35,5.01,0.23,1.57,3
HOXD4,0.79,0.36,0.50,2.09,1
HAGLR,1.25,0.52,0.61,3.13,2
AC009336.1,0.00,0.01,0.01,0.00,0
HAGLROS,0.08,0.10,0.15,2.09,1
HOXD1,0.26,0.15,0.66,1.31,1
MTX2,20.25,18.24,22.76,15.14,4
LINC01117,6.78,5.93,0.66,3.13,3
AC017048.1,0.02,0.02,0.00,0.00,0
AC017048.2,0.00,0.02,0.00,0.00,0
AC017048.3,0.11,0.14,0.14,0.52,0
LINC01116,4.46,3.68,10.59,8.62,4
AC092162.2,1.44,0.88,0.14,0.52,1
AC073636.1,0.04,0.05,0.02,0.00,0
AC074286.1,0.32,0.15,0.11,0.00,0
AC079305.3,5.06,3.89,1.11,2.61,4
HNRNPA3,58.22,62.82,86.49,66.58,4
NFE2L2,57.28,49.68,18.23,28.98,4
AC079305.1,0.30,0.52,0.18,0.52,0
AC019080.1,0.94,1.60,1.80,2.09,3
AC019080.4,0.00,0.10,0.00,0.00,0
AC019080.5,0.06,0.33,0.04,0.26,0
AC019080.6,0.19,0.19,0.56,0.26,0
AGPS,22.64,24.15,20.43,17.49,4
TTC30B,0.76,0.95,6.06,4.70,2
AC073834.1,0.04,0.04,0.01,0.00,0
TTC30A,1.34,0.79,7.64,7.05,3
PDE11A,8.01,3.52,9.73,5.22,4
AC012499.1,0.13,0.23,0.00,0.00,0
RBM45,7.38,7.78,6.46,3.13,4
OSBPL6,12.80,3.64,3.19,2.87,4
CHROMR,13.28,13.69,16.93,12.27,4
PRKRA,16.56,13.05,27.55,18.80,4
PJVK,4.23,2.42,3.92,2.09,4
FKBP7,4.27,4.74,35.90,15.93,4
PLEKHA3,17.11,15.72,34.77,25.07,4
TTN-AS1,23.49,23.27,18.11,14.10,4
TTN,19.87,24.06,0.91,7.57,3
AC009948.3,0.11,0.33,0.53,0.26,0
AC009948.2,1.32,1.05,1.89,1.57,4
AC010680.3,1.23,1.02,3.27,0.26,3
AC010680.2,0.94,0.61,2.23,1.57,2
AC010680.4,0.76,0.50,1.54,1.31,2
AC010680.5,0.19,0.13,0.19,0.26,0
AC010680.1,0.09,0.18,0.14,0.00,0
AC092640.1,0.64,3.66,0.00,0.00,1
CCDC141,8.57,10.51,0.08,1.83,3
SESTD1,32.62,24.54,20.60,16.71,4
AC093911.1,0.06,0.03,0.00,0.00,0
ZNF385B,30.35,6.68,62.31,10.44,4
CWC22,17.37,19.43,17.17,16.45,4
AC009478.1,0.79,0.22,0.00,0.00,0
SCHLAP1,0.40,0.35,0.19,0.00,0
UBE2E3,33.71,29.61,41.82,31.07,4
AC104076.1,0.04,0.02,0.01,0.00,0
AC068196.1,0.11,0.43,0.02,0.00,0
LINC01934,15.81,32.71,0.12,2.09,3
AC020595.1,0.00,0.04,0.00,0.00,0
ITGA4,24.38,53.55,1.13,10.70,4
CERKL,0.47,13.55,0.00,0.00,1
NEUROD1,0.21,0.05,0.02,0.78,0
AC013733.1,0.02,0.01,0.00,0.00,0
AC009962.1,0.34,0.19,0.10,0.78,0
ITPRID2,17.92,15.21,21.26,22.45,4
PPP1R1C,0.55,0.33,0.04,0.00,0
PDE1A,6.84,5.14,0.32,3.92,3
AC012500.1,0.00,0.00,0.00,0.26,0
DNAJC10,18.70,25.20,36.59,32.11,4
FRZB,4.68,9.50,11.07,15.67,4
NCKAP1,34.35,14.99,42.27,31.85,4
